Source Name	Comment [ENA_SAMPLE]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [strain/background]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Comment [INSTRUMENT_MODEL]	Comment [LIBRARY_SELECTION]	Comment [LIBRARY_SOURCE]	Comment [LIBRARY_STRATEGY]	Material Type	Assay Name	Comment [ENA_EXPERIMENT]	Comment [Platform_title]	Technology Type	Protocol REF	Term Source REF	Scan Name	Comment [ENA_RUN]	Comment [FASTQ_URI]	FactorValue [STRAIN/BACKGROUND]	FactorValue [TIME]	FactorValue [TREATMENT]
GSM1332663 1	SRS560432	UGTWs6nA48HS1 Illumina's RNA-Seq whole transcriptome analysis. mRNA	Chlamydomonas cultured cells, sta6 (CC-4348), 48 h minus nitrogen, 48h after acetate boost	Chlamydomonas reinhardtii CC-4348 sta6 48h minus N, 48h + acetate	Chlamydomonas reinhardtii	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3055	sta6 (CC-4348)	P-GSE55253-1	ArrayExpress	P-GSE55253-2	ArrayExpress	P-GSE55253-3	ArrayExpress	GSM1332663 extract 1	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1332663	SRX474564	Illumina HiSeq 2000 (Chlamydomonas reinhardtii)	sequencing assay	P-GSE55253-4	ArrayExpress	SRR1174417	SRR1174417	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/007/SRR1174417/SRR1174417.fastq.gz	sta6 (CC-4348)	48h after acetate boost	48 h minus nitrogen, then acetate boost
GSM1332662 1	SRS560401	UGTWs6nA24HS1 Illumina's RNA-Seq whole transcriptome analysis. mRNA	Chlamydomonas cultured cells, sta6 (CC-4348), 48 h minus nitrogen, 24h after acetate boost	Chlamydomonas reinhardtii CC-4348 sta6 48h minus N, 24h + acetate	Chlamydomonas reinhardtii	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3055	sta6 (CC-4348)	P-GSE55253-1	ArrayExpress	P-GSE55253-2	ArrayExpress	P-GSE55253-3	ArrayExpress	GSM1332662 extract 1	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1332662	SRX474533	Illumina HiSeq 2000 (Chlamydomonas reinhardtii)	sequencing assay	P-GSE55253-4	ArrayExpress	SRR1174416	SRR1174416	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/006/SRR1174416/SRR1174416.fastq.gz	sta6 (CC-4348)	24h after acetate boost	48 h minus nitrogen, then acetate boost
GSM1332661 1	SRS560399	UGTWs6nA12HS1 Illumina's RNA-Seq whole transcriptome analysis. mRNA	Chlamydomonas cultured cells, sta6 (CC-4348), 48 h minus nitrogen, 12h after acetate boost	Chlamydomonas reinhardtii CC-4348 sta6 48h minus N, 12h + acetate	Chlamydomonas reinhardtii	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3055	sta6 (CC-4348)	P-GSE55253-1	ArrayExpress	P-GSE55253-2	ArrayExpress	P-GSE55253-3	ArrayExpress	GSM1332661 extract 1	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1332661	SRX474532	Illumina HiSeq 2000 (Chlamydomonas reinhardtii)	sequencing assay	P-GSE55253-4	ArrayExpress	SRR1174415	SRR1174415	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/005/SRR1174415/SRR1174415.fastq.gz	sta6 (CC-4348)	12h after acetate boost	48 h minus nitrogen, then acetate boost
GSM1332660 1	SRS560400	UGTWs6nA8HS1 Illumina's RNA-Seq whole transcriptome analysis. mRNA	Chlamydomonas cultured cells, sta6 (CC-4348), 48 h minus nitrogen, 8h after acetate boost	Chlamydomonas reinhardtii CC-4348 sta6 48h minus N, 8h + acetate	Chlamydomonas reinhardtii	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3055	sta6 (CC-4348)	P-GSE55253-1	ArrayExpress	P-GSE55253-2	ArrayExpress	P-GSE55253-3	ArrayExpress	GSM1332660 extract 1	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1332660	SRX474531	Illumina HiSeq 2000 (Chlamydomonas reinhardtii)	sequencing assay	P-GSE55253-4	ArrayExpress	SRR1174414	SRR1174414	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/004/SRR1174414/SRR1174414.fastq.gz	sta6 (CC-4348)	8h after acetate boost	48 h minus nitrogen, then acetate boost
GSM1332659 1	SRS560431	UGTWs6nA4HS1 Illumina's RNA-Seq whole transcriptome analysis. mRNA	Chlamydomonas cultured cells, sta6 (CC-4348), 48 h minus nitrogen, 4h after acetate boost	Chlamydomonas reinhardtii CC-4348 sta6 48h minus N, 4h + acetate	Chlamydomonas reinhardtii	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3055	sta6 (CC-4348)	P-GSE55253-1	ArrayExpress	P-GSE55253-2	ArrayExpress	P-GSE55253-3	ArrayExpress	GSM1332659 extract 1	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1332659	SRX474563	Illumina HiSeq 2000 (Chlamydomonas reinhardtii)	sequencing assay	P-GSE55253-4	ArrayExpress	SRR1174413	SRR1174413	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/003/SRR1174413/SRR1174413.fastq.gz	sta6 (CC-4348)	4h after acetate boost	48 h minus nitrogen, then acetate boost
GSM1332658 1	SRS560430	UGTWs6nA2HS1 Illumina's RNA-Seq whole transcriptome analysis. mRNA	Chlamydomonas cultured cells, sta6 (CC-4348), 48 h minus nitrogen, 2h after acetate boost	Chlamydomonas reinhardtii CC-4348 sta6 48h minus N, 2h + acetate	Chlamydomonas reinhardtii	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3055	sta6 (CC-4348)	P-GSE55253-1	ArrayExpress	P-GSE55253-2	ArrayExpress	P-GSE55253-3	ArrayExpress	GSM1332658 extract 1	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1332658	SRX474562	Illumina HiSeq 2000 (Chlamydomonas reinhardtii)	sequencing assay	P-GSE55253-4	ArrayExpress	SRR1174412	SRR1174412	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/002/SRR1174412/SRR1174412.fastq.gz	sta6 (CC-4348)	2h after acetate boost	48 h minus nitrogen, then acetate boost
GSM1332657 1	SRS560429	UGTWs6nA05HS1 Illumina's RNA-Seq whole transcriptome analysis. mRNA	Chlamydomonas cultured cells, sta6 (CC-4348), 48 h minus nitrogen, 0.5h after acetate boost	Chlamydomonas reinhardtii CC-4348 sta6 48h minus N, 0.5h + acetate	Chlamydomonas reinhardtii	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3055	sta6 (CC-4348)	P-GSE55253-1	ArrayExpress	P-GSE55253-2	ArrayExpress	P-GSE55253-3	ArrayExpress	GSM1332657 extract 1	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1332657	SRX474561	Illumina HiSeq 2000 (Chlamydomonas reinhardtii)	sequencing assay	P-GSE55253-4	ArrayExpress	SRR1174411	SRR1174411	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/001/SRR1174411/SRR1174411.fastq.gz	sta6 (CC-4348)	0.5h after acetate boost	48 h minus nitrogen, then acetate boost
GSM1332656 1	SRS560428	UGTWs6nA0bHS1 Illumina's RNA-Seq whole transcriptome analysis. mRNA	Chlamydomonas cultured cells, sta6 (CC-4348), 48 h minus nitrogen, 0h after acetate boost	Chlamydomonas reinhardtii CC-4348 sta6 48h minus N, 0h + acetate	Chlamydomonas reinhardtii	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3055	sta6 (CC-4348)	P-GSE55253-1	ArrayExpress	P-GSE55253-2	ArrayExpress	P-GSE55253-3	ArrayExpress	GSM1332656 extract 1	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1332656	SRX474560	Illumina HiSeq 2000 (Chlamydomonas reinhardtii)	sequencing assay	P-GSE55253-4	ArrayExpress	SRR1174410	SRR1174410	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/000/SRR1174410/SRR1174410.fastq.gz	sta6 (CC-4348)	0h after acetate boost	48 h minus nitrogen, then acetate boost
GSM1332655 1	SRS560427	UGTWs6na48HS1 Illumina's RNA-Seq whole transcriptome analysis. mRNA	Chlamydomonas cultured cells, sta6 (CC-4348), minus nitrogen, 48h	Chlamydomonas reinhardtii CC-4348 sta6 minus N 48h	Chlamydomonas reinhardtii	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3055	sta6 (CC-4348)	P-GSE55253-1	ArrayExpress	P-GSE55253-2	ArrayExpress	P-GSE55253-3	ArrayExpress	GSM1332655 extract 1	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1332655	SRX474559	Illumina HiSeq 2000 (Chlamydomonas reinhardtii)	sequencing assay	P-GSE55253-4	ArrayExpress	SRR1174409	SRR1174409	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/009/SRR1174409/SRR1174409.fastq.gz	sta6 (CC-4348)	48h	minus nitrogen
GSM1332654 1	SRS560426	UGTWs6na24HS1 Illumina's RNA-Seq whole transcriptome analysis. mRNA	Chlamydomonas cultured cells, sta6 (CC-4348), minus nitrogen, 24h	Chlamydomonas reinhardtii CC-4348 sta6 minus N 24h	Chlamydomonas reinhardtii	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3055	sta6 (CC-4348)	P-GSE55253-1	ArrayExpress	P-GSE55253-2	ArrayExpress	P-GSE55253-3	ArrayExpress	GSM1332654 extract 1	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1332654	SRX474558	Illumina HiSeq 2000 (Chlamydomonas reinhardtii)	sequencing assay	P-GSE55253-4	ArrayExpress	SRR1174408	SRR1174408	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/008/SRR1174408/SRR1174408.fastq.gz	sta6 (CC-4348)	24h	minus nitrogen
GSM1332653 1	SRS560425	UGTWs6na12HS1 Illumina's RNA-Seq whole transcriptome analysis. mRNA	Chlamydomonas cultured cells, sta6 (CC-4348), minus nitrogen, 12h	Chlamydomonas reinhardtii CC-4348 sta6 minus N 12h	Chlamydomonas reinhardtii	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3055	sta6 (CC-4348)	P-GSE55253-1	ArrayExpress	P-GSE55253-2	ArrayExpress	P-GSE55253-3	ArrayExpress	GSM1332653 extract 1	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1332653	SRX474557	Illumina HiSeq 2000 (Chlamydomonas reinhardtii)	sequencing assay	P-GSE55253-4	ArrayExpress	SRR1174407	SRR1174407	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/007/SRR1174407/SRR1174407.fastq.gz	sta6 (CC-4348)	12h	minus nitrogen
GSM1332652 1	SRS560424	UGTWs6na8HS1 Illumina's RNA-Seq whole transcriptome analysis. mRNA	Chlamydomonas cultured cells, sta6 (CC-4348), minus nitrogen, 8h	Chlamydomonas reinhardtii CC-4348 sta6 minus N 8h	Chlamydomonas reinhardtii	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3055	sta6 (CC-4348)	P-GSE55253-1	ArrayExpress	P-GSE55253-2	ArrayExpress	P-GSE55253-3	ArrayExpress	GSM1332652 extract 1	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1332652	SRX474556	Illumina HiSeq 2000 (Chlamydomonas reinhardtii)	sequencing assay	P-GSE55253-4	ArrayExpress	SRR1174406	SRR1174406	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/006/SRR1174406/SRR1174406.fastq.gz	sta6 (CC-4348)	8h	minus nitrogen
GSM1332651 1	SRS560423	UGTWs6na4HS1 Illumina's RNA-Seq whole transcriptome analysis. mRNA	Chlamydomonas cultured cells, sta6 (CC-4348), minus nitrogen, 4h	Chlamydomonas reinhardtii CC-4348 sta6 minus N 4h	Chlamydomonas reinhardtii	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3055	sta6 (CC-4348)	P-GSE55253-1	ArrayExpress	P-GSE55253-2	ArrayExpress	P-GSE55253-3	ArrayExpress	GSM1332651 extract 1	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	total RNA	GSM1332651	SRX474555	Illumina HiSeq 2000 (Chlamydomonas reinhardtii)	sequencing assay	P-GSE55253-4	ArrayExpress	SRR1174405	SRR1174405	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/005/SRR1174405/SRR1174405.fastq.gz	sta6 (CC-4348)	4h	minus nitrogen
