#
#  chlamycyc 8.0 Pathways link table generated on Fri Jun 29, 2018
#
PWY-4765	superpathway of lipid-dependent phytate biosynthesis	
ASPARTATE-DEG1-PWY	L-aspartate degradation I	
PWY-5989	stearate biosynthesis II (bacteria and plants)	stearic acid biosynthesis
GLUTAMATE-DEG1-PWY	L-glutamate degradation I	GDH shunt
PWY-621	sucrose degradation III (sucrose invertase)	sucrose mobilization
PWY-5269	cardiolipin biosynthesis II	
PWY-6441	spermine and spermidine degradation III	polyamine degradation III
PWY-7200	superpathway of pyrimidine deoxyribonucleoside salvage	
GLUTATHIONESYN-PWY	glutathione biosynthesis	
MANNCAT-PWY	D-mannose degradation	mannose degradation
PWY-7152	pinolenate and coniferonate biosynthesis	pinolenic acid and coniferonic acid biosynthesis
PWY-702	L-methionine biosynthesis II	L-methionine biosynthesis via <i>O</i>-phospho-homoserine
PWY-5690	TCA cycle II (plants and fungi)	TCA cycle -- aerobic respiration	tricarboxylic acid cycle	citric acid cycle	Szent-Gyorgyi-Krebs cycle	Krebs cycle
PWY-5943	&beta;-carotene biosynthesis	
PWY-5944	zeaxanthin biosynthesis	
PWY-6936	seleno-amino acid biosynthesis	Se-amino acid biosynthesis	selenocysteine and selenomethionine biosynthesis
PWY-5046	2-oxoisovalerate decarboxylation to isobutanoyl-CoA	2-oxo acid dehydrogenase complex	branched-chain &alpha;-keto acid dehydrogenase complex
PWY-7344	UDP-&alpha;-D-galactose biosynthesis	UDP-D-galactose biosynthesis
PWY-6019	pseudouridine degradation	
PWY-5698	allantoin degradation to ureidoglycolate II (ammonia producing)	
PWY-7155	7-dehydroporiferasterol biosynthesis	
THRESYN-PWY	superpathway of L-threonine biosynthesis	
PWY0-1312	acetate formation from acetyl-CoA I	acetic acid formation from acetyl-CoA I
ARO-PWY	chorismate biosynthesis I	aromatic amino acid biosynthesis	shikimate pathway
PWY-6348	phosphate acquisition	
ASPARAGINE-BIOSYNTHESIS	L-asparagine biosynthesis I	
ASPARAGINESYN-PWY	L-asparagine biosynthesis II	L-asparagine - L-aspartate pathway
PWYQT-4449	polyisoprenoid biosynthesis	
PWY-401	galactolipid biosynthesis I	galactosylglyceride biosynthesis I	glycosylglyceride biosynthesis
PWY-1422	vitamin E biosynthesis (tocopherols)	tocopherol biosynthesis
PWY-6164	3-dehydroquinate biosynthesis I	
PWY-3461	L-tyrosine biosynthesis II	pretyrosine pathway
PWY-3001	superpathway of L-isoleucine biosynthesis I	
PWY-5147	oleate biosynthesis I (plants)	stearoyl-ACP desaturation pathway
PWY-3161	indole-3-acetate biosynthesis III (bacteria)	IAA biosynthesis III (bacteria)	indole-3-acetic acid biosynthesis II (bacteria)
PWYIO2-1	glycerolipid acyl chain desaturation (Chlamydomonas)	
PWY-5945	violaxanthin, antheraxanthin and zeaxanthin interconversion	xanthophyll cycle	VAZ cycle	violaxanthin, antheraxanthin and zeaxanthin cycle
PWY-6707	gallate biosynthesis	
PWY-6509	methanol oxidation to formaldehyde III	
PWY-6730	methylhalides biosynthesis (plants)	biogenesis of methylhalides (plants)
PWY-63	UDP-&beta;-L-arabinose biosynthesis I (from UDP-&alpha;-D-xylose)	UDP-L-arabinose biosynthesis (<i>de novo</i> synthesis)	UDP-L-arabinose biosynthesis I (from UDP-xylose)
PWY-7036	very long chain fatty acid biosynthesis II	cerotate biosynthesis	hexacosanoate biosynthesis
SAM-PWY	S-adenosyl-L-methionine biosynthesis	S-adenosylmethionine biosynthesis
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	
PWY-5484	glycolysis II (from fructose 6-phosphate)	
P23-PWY	reductive TCA cycle I	reductive tricarboxylic acid cycle	reductive tricarboxylic acid pathway	reductive citric acid cycle	reverse citric acid cycle	carbon fixation	CO<SUB>2</SUB> fixation	reductive carboxylic acid cycle
PWY-4261	glycerol degradation I	
PWY-5691	urate conversion to allantoin I	
PWY-6351	D-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis	IP3 biosynthesis
SERSYN-PWY	L-serine biosynthesis	
PWY-6464	polyvinyl alcohol degradation	
PWY-5353	arachidonate biosynthesis I (6-desaturase, lower eukaryotes)	arachidonic acid biosynthesis I (lower eukaryotes)	arachidonic acid biosynthesis
PWY-2161B	glutamate removal from folates	
PHOTOALL-PWY	oxygenic photosynthesis	C3 photosynthesis
POLYAMINSYN3-PWY	superpathway of polyamine biosynthesis II	polyamn
PWY0-662	PRPP biosynthesis I	5-phosphoribosyl 1-pyrophosphate biosynthesis
ARGDEGRAD-PWY	L-arginine degradation V (arginine deiminase pathway)	L-arginine dihydrolase pathway	L-arginine deiminase degradation
PWY-7154	ergosterol biosynthesis II	ergosterol biosynthesis II (<i>Chlamydomonas</i>)	ergosterol biosynthesis II (green algae)
PWY-5667	CDP-diacylglycerol biosynthesis I	CDP-diacylglycerol biosynthesis
PWY-6964	ammonia assimilation cycle II	GS/GOGAT pathway
PWY-6910	hydroxymethylpyrimidine salvage	HMP salvage
PWY0-162	superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis	pyrimidine biosynthesis
PWY66-399	gluconeogenesis III	
PWY-6124	inosine-5'-phosphate biosynthesis II	IMP biosynthesis II
PWY-7343	UDP-&alpha;-D-glucose biosynthesis I	UDP-D-glucose biosynthesis I
PWY-7176	UTP and CTP <i>de novo</i> biosynthesis	
PWY-4861	UDP-&alpha;-D-galacturonate biosynthesis I (from UDP-D-glucuronate)	UDP-galacturonic acid biosynthesis	UDP-GalA biosynthesis	UDP-D-galacturonate biosynthesis I (from UDP-D-glucuronate)
PWY0-1507	biotin biosynthesis from 8-amino-7-oxononanoate I	biotin biosynthesis from 7-keto-8-aminopelargonate
PWY-735	jasmonic acid biosynthesis	jasmonate biosynthesis
LEUSYN-PWY	L-leucine biosynthesis	
PWY-6785	hydrogen production VIII	photosynthetic hydrogen generation
PWY66-423	fructose 2,6-bisphosphate biosynthesis	
PWY-381	nitrate reduction II (assimilatory)	nitrate assimilation
PWY-4302	aerobic respiration III (alternative oxidase pathway)	aerobic respiration -- electron donor III	alternative oxidase pathway
PWY-6756	<i>S</i>-methyl-5'-thioadenosine degradation II	methylthioadenosine degradation II
PWY-7560	methylerythritol phosphate pathway II	nonmevalonate isopentenyl diphosphate biosynthesis	methylerythritol phosphate degradation	MEP degradation	deoxyxylulose phosphate pathway	DOXP pathway	Rohmer pathway	isopentenyl diphosphate biosynthesis -- mevalonate-independent	nonmevalonate isoprenoid pathway	MEP pathway
LEU-DEG2-PWY	L-leucine degradation I	
CITRULLINE-DEG-PWY	L-citrulline degradation	
PWY-5350	thiosulfate disproportionation IV (rhodanese)	
PWY-7394	urate conversion to allantoin II	
PWY-5971	palmitate biosynthesis II (bacteria and plants)	palmitic acid biosynthesis	de novo lipogenesis
PWY-6163	chorismate biosynthesis from 3-dehydroquinate	
PWY-7227	adenosine deoxyribonucleotides <i>de novo</i> biosynthesis	
PWY-7193	pyrimidine ribonucleosides salvage I	
PWY-6852	senecionine N-oxide biosynthesis	
PWY-6842	glutathione-mediated detoxification II	
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	
PWY-7159	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis III (aerobic, light independent)	light-independent aerobic 3,8-divinyl-chlorophyllide <i>a</i> biosynthesis	light-independent aerobic chlorophyllide <i>a</i> biosynthesis
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	
P165-PWY	superpathway of purines degradation in plants	
PWY-7175	nostoxanthin biosynthesis	
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched chain amino acid biosynthesis	superpathway of L-leucine, L-valine, and L-isoleucine biosynthesis
PWY-5905	hypusine biosynthesis	
PWY-7156	superpathway of ergosterol biosynthesis II	superpathway of ergosterol biosynthesis II (green algae)
PWY-5080	very long chain fatty acid biosynthesis I	VLCFAs biosynthesis I	VLCFAs biosynthesis
PWY-6927	chlorophyll <i>a</i> degradation II	
PWY-7731	superpathway of photosynthetic hydrogen production	photosynthetic hydrogen generation
PWY-6607	guanosine nucleotides degradation I	
PWY-7158	L-phenylalanine degradation V	
PWY4LZ-257	superpathway of fermentation (<i>Chlamydomonas reinhardtii</i>)	pyruvate fermentation (Chlamydomonas overview)	superpathway of fermentation from pyruvate (<i>Chlamydomonas reinhardtii</i>)	pyruvic acid fermentation (Chlamydomonas overview)
URDEGR-PWY	superpathway of allantoin degradation in plants	ureide degradation
PWY-5687	pyrimidine ribonucleotides interconversion	pyrimidine biosynthesis
PWY-5129	sphingolipid biosynthesis (plants)	ceramide biosynthesis (plants)
PWY-5704	urea degradation II	
PWYQT-4466	superpathway of sucrose and starch metabolism I (non-photosynthetic tissue)	
PWY-6803	phosphatidylcholine acyl editing	
TRESYN-PWY	trehalose biosynthesis I	trehalose biosynthesis
PWY-6799	fatty acid biosynthesis (plant mitochondria)	
PWY-4621	arsenate detoxification II (glutaredoxin)	
CALVIN-PWY	Calvin-Benson-Bassham cycle	photosynthetic dark reactions	photosynthetic CO<SUB>2</SUB> fixation	reductive pentose phosphate pathway	Calvin cycle	photosynthesis - dark reaction	carbon fixation	Calvin-Benson cycle
PWY-5027	phylloquinol biosynthesis	vitamin K<sub>1</sub> biosynthesis	phylloquinone biosynthesis
PWY-6605	adenine and adenosine salvage II	adenosine nucleosides salvage II
PWY-6281	L-selenocysteine biosynthesis II (archaea and eukaryotes)	
PWY-5921	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation
PWY-3385	choline biosynthesis I	
PWY-7416	phospholipid remodeling (phosphatidylcholine, yeast)	
PWY-6079	anthranilate degradation I (aerobic)	2-aminobenzoate degradation (aerobic)
PWY-2681	<i>trans</i>-zeatin biosynthesis	<i>trans</i>-cytokinin biosynthesis	AMP-dependent cytokinin biosynthesis
PWY-7183	pyrimidine nucleobases salvage I	uracil salvage
SULFMETII-PWY	sulfate reduction II (assimilatory)	sulfur metabolism	sulfur assimilation
PWY-701	L-methionine degradation II	methionine degradation 2
BSUBPOLYAMSYN-PWY	spermidine biosynthesis I	arginine degradation to spermidine	spermidine biosynthesis
TRPSYN-PWY	L-tryptophan biosynthesis	
UDPNACETYLGALSYN-PWY	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II	UDP-<i>N</i>-acetylgalactosamine biosynthesis
PWY-5980	xylogalacturonan biosynthesis	
PWY-7184	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I	
PWY-5041	<i>S</i>-adenosyl-L-methionine cycle II	activated methyl cycle	SAM cycle
PWY-5137	fatty acid &beta;-oxidation III (unsaturated, odd number)	
PWYQT-4433	CA1P biosynthesis	2-carboxy-D-arabinitol 1-phosphate biosynthesis
PWY-3561	choline biosynthesis III	
PWY-6554	1D-<i>myo</i>-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)	phytate biosynthesis
PWYQT-4432	glutathione degradation	
PWY4FS-6	phosphatidylethanolamine biosynthesis II	Kennedy pathway
PWY-5805	nonaprenyl diphosphate biosynthesis I	solanesyl diphosphate biosynthesis	solanesyl pyrophosphate biosynthesis
THISYNARA-PWY	superpathway of thiamine diphosphate biosynthesis III (eukaryotes)	vitamin B1 biosynthesis IV (eukaryotes)	thiamine diphosphate biosynthesis (plants)
PWY-6466	pyridoxal 5'-phosphate biosynthesis II	vitamin B6 biosynthesis
PWY-5156	superpathway of fatty acid biosynthesis II (plant)	
PWY4FS-7	phosphatidylglycerol biosynthesis I (plastidic)	
PWY-5097	L-lysine biosynthesis VI	
PWY-5123	<i>trans, trans</i>-farnesyl diphosphate biosynthesis	FPP biosynthesis	<i>trans, trans</i>-farnesyl diphosphate biosynthesis
PWY-5136	fatty acid &beta;-oxidation II (peroxisome)	fatty acid &beta;-oxidation II (plants)
VALDEG-PWY	L-valine degradation I	
GLUTAMATE-SYN2-PWY	L-glutamate biosynthesis II	
PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA	pyruvate dehydrogenase complex	acetyl-CoA biosynthesis I (pyruvate dehydrogenase complex)	pyruvic acid decarboxylation to acetyl CoA
PWY-6610	adenine salvage	adenosine nucleotides salvage IV
PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	
PWYIO2-5	phospholipases (Chlamydomonas)	phospholipase pathway
PWY-6118	glycerol-3-phosphate shuttle	G3P shuttle	glycerol-3-P shuttle
PWY-6287	neurosporene biosynthesis	
