#
#  chlamycyc 8.0 Reactions link table generated on Fri Jun 29, 2018
#
3.2.1.58-RXN	EC-3.2.1.58
TRANS-RXN4LZ-7054	
RXN-12396	
ADENOSYLHOMOCYSTEINASE-RXN	EC-3.3.1.1
3.1.3.77-RXN	EC-3.1.3.77
RXN-13414	
RXN-9536	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
RXN-8853	EC-1.1.1.153
RXN-7931	EC-5.3.3.8
RXN-7650	EC-1.14.13
RXN-18972	
RXN-8189	EC-1.14.99
HYDROXYMETHYLGLUTARYL-COA-LYASE-RXN	EC-4.1.3.4
1.11.1.15-RXN	EC-1.11.1.15
1.1.1.178-RXN	EC-1.1.1.178
RXN-10756	EC-3.5.1.99
ARGDECARBOX-RXN	EC-4.1.1.19
GLUCOSE-1-DEHYDROGENASE-RXN	EC-1.1.1.47
RXN-11047	EC-2.5.1.74
RXN-9657	EC-1.3.1.9
NADPH--FERRIHEMOPROTEIN-REDUCTASE-RXN	EC-1.6.2.4
RXN0-2142	EC-1.1.1.100
ACETYLORNDEACET-RXN	EC-3.5.1.16
3-DEHYDROQUINATE-DEHYDRATASE-RXN	EC-4.2.1.10
4.3.1.4-RXN	EC-4.3.1.4
RXN-4314	
RXN1F-148	EC-5.5.1.19
RXN-8319	EC-1.14.19.43
2.4.1.122-RXN	EC-2.4.1.122
CYTIDEAM2-RXN	EC-3.5.4.5
RXN-16046	EC-1.14.19.25
RXN-8847	
RXN1G-517	EC-4.2.1.59
2.4.1.83-RXN	EC-2.4.1.83
RXN-9589	EC-2.4.2.41
RXN-7687	EC-1.14.11.22
CINNAMYL-ALCOHOL-DEHYDROGENASE-RXN	EC-1.1.1.195
MALTODEXGLUCOSID-RXN	EC-3.2.1.20
RXN0-6274	EC-2.5.1.75
3.2.1.39-RXN	EC-3.2.1.39
RXN-9540	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
RXN-8042	EC-5.2.1.13
NICONUCADENYLYLTRAN-RXN	EC-2.7.7.18
3.6.3.42-RXN	EC-3.6.3.42
RXN-5961	EC-1.14.99
3-OXOACYL-ACP-REDUCT-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
RXN-7979	
2.7.8.15-RXN	EC-2.7.8.15
SULFATE-ADENYLYLTRANSFERASE-ADP-RXN	EC-2.7.7.5
RXN-9662	EC-1.3.1.9
BRANCHED-CHAINAMINOTRANSFERLEU-RXN	EC-2.6.1.6	EC-2.6.1.42
RXN-7660	
RXN0-743	EC-5.4.99.18
LYSINE-N-ACETYLTRANSFERASE-RXN	EC-2.3.1.32
RXN-4243	EC-1.14.19.41
GLUTAMINESYN-RXN	EC-6.3.1.2
RXN-18971	
RXN1G-881	EC-1.1.1
RXN-8297	EC-1.14.19.35
LIPOXYGENASE-RXN	EC-1.13.11.12
RXN-5682	EC-1.3.1.78
RXN-17491	EC-1.3.7.13
3.1.2.14-RXN	EC-3.1.2.14
4.2.1.93-RXN	EC-4.2.1.93
ACETYLCHOLINESTERASE-RXN	EC-3.1.1.7
COBALADENOSYLTRANS-RXN	EC-2.5.1.17
SUCROSE-PHOSPHATASE-RXN	EC-3.1.3.24
RXN-4306	
RXN-16997	
RXN-9626	EC-3.1.2.2
R83-RXN	EC-3.1.3.87
MANNITOL-1-PHOSPHATASE-RXN	EC-3.1.3.22
RXN-9624	EC-3.1.2.2
3.4.13.18-RXN	EC-3.4.13.18
RXN-745	
TRANSENOYLCOARED-RXN	EC-1.3.1.38
RXN0-7271	EC-1.8.4
RXN-10058	EC-3.5.4
RXN-12544	EC-3.2.1
ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN	EC-3.2.2.9
RXN-16910	
RXN-14871	
