Pathway Name | Pathway Frame-id | Pathway Class | Pathway Class Frame-id | Pathway Frequency Score | Pathway Score | Pathway URL

beta-alanine biosynthesis I|PWY-3981|beta Alanine Biosynthesis|Beta-Alanine-Biosynthesis|2.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-3981
1,4-dihydroxy-2-naphthoate biosynthesis II (plants)|PWY-5791|1,4-Dihydroxy-2-Naphthoate Biosynthesis|DHNA-Biosynthesis|0.42857143|0.42857143|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5791
1D-myo-inositol hexakisphosphate biosynthesis I  (from Ins(1,4,5)P3)|PWY-6361|Phytate Biosynthesis|Phytate-Biosynthesis|1.0|0.8|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6361
1D-myo-inositol hexakisphosphate biosynthesis III (Spirodela polyrrhiza)|PWY-4661|Phytate Biosynthesis|Phytate-Biosynthesis|0.5714286|0.42857143|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-4661
1D-myo-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)|PWY-6554|Phytate Biosynthesis|Phytate-Biosynthesis|1.0|0.8|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6554
2-ketoglutarate dehydrogenase complex|PWY-5084|||1.3333334|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5084
3-dehydroquinate biosynthesis I|PWY-6164|3-Dehydroquinate Biosynthesis|3-Dehydroquinate-Biosynthesis|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6164
3-phosphoinositide biosynthesis|PWY-6352|||1.0|0.625|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6352
3-phosphoinositide degradation|PWY-6368|||0.11111111|0.11111111|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6368
4-aminobutyrate degradation I|PWY-6535|4-Aminobutyrate Degradation|4-Aminobutyraye-Degradation|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6535
4-hydroxybenzoate biosynthesis V|PWY-6435|4-Hydroxybenzoate Biosynthesis|4-Hydroxybenzoate-Biosynthesis|0.8|0.6|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6435
5-aminoimidazole ribonucleotide biosynthesis I|PWY-6121|5-Aminoimidazole Ribonucleotide Biosynthesis|AIR-Biosynthesis|1.0|0.8|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6121
6-hydroxymethyl-dihydropterin diphosphate biosynthesis|PWY-6147|Folate Biosynthesis|Folate-Biosynthesis|0.6|0.6|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6147
S-adenosyl-L-methionine cycle II|PWY-5041|S-adenosyl-L-methionine cycle|S-adenosyl-L-methionine-cycle|0.75|0.75|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5041
myo-inositol biosynthesis|PWY-2301|||2.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-2301
trans, trans-farnesyl diphosphate biosynthesis|PWY-5123|All-Trans-Farnesyl-PP-Biosynthesis|All-Trans-Farnesyl-PP-Biosynthesis|2.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5123
trans-lycopene biosynthesis II (plants)|PWY-6475|Lycopene biosynthesis|Lycopene-Biosynthesis|0.2|0.2|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6475
C4 photosynthetic carbon assimilation cycle|PWY-241|||2.75|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-241
CDP-diacylglycerol biosynthesis I|PWY-5667|CDP-diacylglycerol Biosynthesis|CDP-diacylglycerol-Biosynthesis|2.5|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5667
CDP-diacylglycerol biosynthesis II|PWY0-1319|CDP-diacylglycerol Biosynthesis|CDP-diacylglycerol-Biosynthesis|2.5|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1319
CO2 fixation into oxaloacetate|PWYQT-4429|CO2 Fixation|CO2-Fixation|3.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWYQT-4429
Calvin-Benson-Bassham cycle|CALVIN-PWY|||1.7692307|0.9230769|http://biocyc.org/META/new-image?type=PATHWAY&object=CALVIN-PWY
D-myo-inositol (1,4,5)-trisphosphate biosynthesis|PWY-6351|||1.4|0.8|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6351
D-myo-inositol (1,4,5)-trisphosphate degradation|PWY-6363|||1.0|0.33333334|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6363
D-myo-inositol (1,4,5,6)-tetrakisphosphate biosynthesis|PWY-6366|||0.5|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6366
D-myo-inositol (3,4,5,6)-tetrakisphosphate biosynthesis|PWY-6365|||0.5|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6365
D-gluconate degradation|GLUCONSUPER-PWY|||1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=GLUCONSUPER-PWY
D-mannose degradation|MANNCAT-PWY|||1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=MANNCAT-PWY
DIMBOA-glucoside degradation|PWY-4441|||1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-4441
GDP-mannose biosynthesis|PWY-5659|GDP Mannose Biosynthesis|GDP-Mannose-Biosynthesis|1.25|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5659
IAA biosynthesis I|PWY-581|Auxins Biosynthesis|Auxin-Biosynthesis|0.05882353|0.05882353|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-581
L-cysteine degradation I|CYSTEINE-DEG-PWY|Cysteine Degradation|CYSTEINE-DEG|1.3333334|0.6666667|http://biocyc.org/META/new-image?type=PATHWAY&object=CYSTEINE-DEG-PWY
NAD biosynthesis I (from aspartate)|PYRIDNUCSYN-PWY|NAD Biosynthesis|NAD-SYN|0.6666667|0.6666667|http://biocyc.org/META/new-image?type=PATHWAY&object=PYRIDNUCSYN-PWY
NAD phosphorylation and dephosphorylation|NADPHOS-DEPHOS-PWY|||2.3333333|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=NADPHOS-DEPHOS-PWY
NAD/NADH phosphorylation and dephosphorylation|PWY-5083|||3.0|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5083
PRPP biosynthesis I|PWY0-662|PRPP Biosynthesis|PRPP-Biosynthesis|2.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-662
Rubisco shunt|PWY-5723|||2.4|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5723
S-adenosyl-L-methionine biosynthesis|SAM-PWY|||1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=SAM-PWY
TCA cycle variation III (eukaryotic)|PWY-5690|TCA cycle|TCA-VARIANTS|1.5555556|0.7777778|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5690
UDP-N-acetyl-D-glucosamine biosynthesis II|UDPNACETYLGALSYN-PWY|UDP-N-acetyl-D-glucosamine Biosynthesis|UDP-NAc-Glucosamine-Biosynthesis|1.25|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=UDPNACETYLGALSYN-PWY
UDP-D-galacturonate biosynthesis I (from UDP-D-glucuronate)|PWY-4861|||1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-4861
UDP-D-xylose and UDP-D-glucuronate biosynthesis|PWY-4821|||1.5|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-4821
acetaldehyde biosynthesis II|PWY-6330|||1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6330
acetate conversion to acetyl-CoA|PWY0-1313|||4.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1313
acetate formation from acetyl-CoA I|PWY0-1312|Acetate Formation|Acetate-Formation|2.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1312
acetyl-CoA biosynthesis (from citrate)|PWY-5172|||2.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5172
acetyl-CoA biosynthesis (from pyruvate)|PYRUVDEHYD-PWY|||3.3333333|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PYRUVDEHYD-PWY
acyl-ACP thioesterase pathway|PWY-5142|||1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5142
adenine and adenosine salvage II|PWY-6605|Adenine and Adenosine Salvage|Adenine-Adenosine-Salvage|1.0|0.5|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6605
adenine and adenosine salvage VI|PWY-6619|Adenine and Adenosine Salvage|Adenine-Adenosine-Salvage|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6619
adenosine nucleotides de novo biosynthesis|PWY-6126|Purine Nucleotide De Novo Biosynthesis|Purine-Nucleotide-De-Novo-Biosynthesis|3.0|0.75|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6126
adenosine nucleotides degradation II|SALVADEHYPOX-PWY|Adenosine Nucleotides Degradation|Adenosine-Nucleotides-Degradation|1.8|0.8|http://biocyc.org/META/new-image?type=PATHWAY&object=SALVADEHYPOX-PWY
adenosylcobalamin salvage from cobalamin|PWY-6268|Adenosylcobalamin Biosynthesis|Adenosylcobalamin-Biosynthesis|1.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6268
aerobic respiration -- electron donor II|PWY-3781|||5.5|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-3781
alanine biosynthesis II|ALANINE-SYN2-PWY|Alanine Biosynthesis|ALANINE-SYN|2.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=ALANINE-SYN2-PWY
alanine biosynthesis III|PWY0-1021|Alanine Biosynthesis|ALANINE-SYN|2.0|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY0-1021
alanine degradation II (to D-lactate)|ALACAT2-PWY|Alanine Degradation|ALANINE-DEG|1.0|0.6666667|http://biocyc.org/META/new-image?type=PATHWAY&object=ALACAT2-PWY
aldehyde oxidation I|PWY-6299|||0.33333334|0.33333334|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6299
allantoin degradation to ureidoglycolate II (ammonia producing)|PWY-5698|Allantoin Degradation|Allantoin-degradation|1.0|0.6666667|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5698
ammonia assimilation cycle II|PWY-3282|||2.3333333|1.0|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-3282
