This report was generated on 03-Jan-2020  11:46:26.

* = already updated

Compounds


132 Compounds have structure differences between ChlamyCyc and MetaCyc.
 	ID	Name	Slot	ChlamyCyc Value	MetaCyc Value	
	CPD-21768	3,4-dihydroxy-5-<i>all-trans</i>-hexaprenylbenzoate	NON-STANDARD-INCHI	InChI=1S/C37H54O4/c1-27(2)13-8-14-28(3)15-9-16-29(4)17-10-18-30(5)19-11-20-31(6)21-12-22-32(7)23-24-33-25-34(37(40)41)26-35(38)36(33)39/h13,15,17,19,21,23,25-26,38-39H,8-12,14,16,18,20,22,24H2,1-7H3,(H,40,41)/p-1/b28-15+,29-17+,30-19+,31-21+,32-23+	STANDARD-INCHI	
			DISPLAY-COORDS-2D	((192907008 -24750000) (185762000 -37125000) (157184000 -37125000) (128605000 -37125000) (100026000 -37125000) (71447000 -37126000) (42868000 -37125000) (171473008 -28875000) (142894000 -28875000) (114315008 -28875000) (85736000 -28875000) (57158000 -28876000) (178618000 -24750000) (164328000 -24750000) (150038992 -24750000) (135750000 -24750000) (121460000 -24750000) (107170000 -24750000) (92881000 -24751000) (78592000 -24750000) (64302000 -24750000) (50013000 -24751000) (35724000 -24750000) (28579000 -28875000) (21434000 -16500000) (7145000 -16500000) (185762992 -28875000) (157184000 -28875000) (128604000 -28875000) (100026000 -28876000) (71447000 -28875000) (42868000 -28875000) (21434000 -24750000) (14290000 -12375000) (7145000 -24751000) (14290000 -28876000) (14290000 -4126000) (0 -28875000) (14290000 -37125000) (21434000 0) (7145000 -1000))	((192907008 12376001) (185762000 999) (157184016 999) (128605000 999) (100026000 999) (71447000 0) (42868000 999) (171473008 8251000) (142894000 8251000) (114314992 8251000) (85736008 8251000) (57158000 8250000) (178618016 12376001) (164328000 12376001) (150039008 12376001) (135750000 12376001) (121460000 12376001) (107170008 12376001) (92880992 12375000) (78592000 12376001) (64302000 12376001) (50013000 12375000) (35724000 12376001) (28579000 8251000) (21434000 20626002) (7145000 20626002) (185762992 8251000) (157184016 8251000) (128603992 8251000) (100026000 8250000) (71447000 8251000) (42868000 8251000) (21434000 12376001) (14290000 24751000) (7145000 12375000) (14290000 8250000) (14290000 33000000) (0 8250000) (14290000 999) (21434000 37126000) (7145000 37125000))	
			STRUCTURE-BONDS	((1 27 1) (2 27 1) (3 28 1) (4 29 1) (5 30 1) (6 31 1) (7 32 1) (40 37 2) (41 37 1) (38 35 1) (39 36 1) (13 8 1) (13 27 2) (15 9 1) (15 28 2) (17 10 1) (17 29 2) (19 11 1) (19 30 2) (21 12 1) (21 31 2) (23 24 1) (23 32 2) (35 26 2) (26 34 1) (34 25 2) (25 33 1) (8 14 1) (9 16 1) (10 18 1) (11 20 1) (12 22 1) (24 33 1) (14 28 1) (16 29 1) (18 30 1) (20 31 1) (22 32 1) (37 34 1) (36 35 1) (33 36 2))	((33 36 1) (36 35 2) (37 34 1) (22 32 1) (20 31 1) (18 30 1) (16 29 1) (14 28 1) (24 33 1) (12 22 1) (11 20 1) (10 18 1) (9 16 1) (8 14 1) (25 33 2) (34 25 1) (26 34 2) (35 26 1) (23 32 2) (23 24 1) (21 31 2) (21 12 1) (19 30 2) (19 11 1) (17 29 2) (17 10 1) (15 28 2) (15 9 1) (13 27 2) (13 8 1) (39 36 1) (41 37 1) (40 37 2) (7 32 1) (6 31 1) (5 30 1) (4 29 1) (3 28 1) (2 27 1) (1 27 1) (35 38 1))	
	ADENOSINE_DIPHOSPHATE_RIBOSE	ADP-D-ribose	DISPLAY-COORDS-2D	((330660 -12340) (-131090 910) (383860 -147040) (653960 -188140) (408660 13360) (-210090 22840) (526860 -230040) (433560 91860) (-235590 101300) (516060 91860) (-318090 101300) (454960 -271040) (526860 -147040) (541360 13360) (-343580 22840) (454660 -353540) (383860 -230040) (454960 -105140) (605860 -255540) (605660 -122240) (385060 158060) (-194340 172750) (564560 158560) (-359340 172750) (-415260 -18790) (187460 -39940) (187160 124160) (22860 124660) (22860 -40340) (269560 42260) (-59640 42160) (474560 -34440) (-276840 -25660) (105360 42160) (187360 42160) (22860 42160))	((4961 2328) (9682 2327) (0 2065) (2701 1654) (4247 2741) (10397 2740) (1430 1235) (3998 3526) (10652 3524) (3173 3526) (11477 3524) (711 825) (1430 2065) (2920 2741) (11732 2740) (708 0) (0 1235) (711 2484) (2220 980) (2218 2313) (4483 4188) (10239 4239) (2688 4193) (11889 4239) (12449 2324) (6497 1919) (6500 3560) (8143 3565) (8143 1915) (5676 2741) (8968 2740) (3588 2263) (11064 2255) (7318 2740) (6498 2740) (8143 2740))	
			STRUCTURE-BONDS	((15 25 1) (6 2 1 :DOWN) (11 9 1) (15 11 1) (33 15 1) (6 33 1) (9 6 1) (2 31 1) (36 31 1) (10 23 1 :DOWN) (16 12 1) (26 35 1) (8 21 1 :DOWN) (27 35 2) (19 4 2) (4 20 1) (1 30 1) (5 1 1 :UP) (7 19 1) (3 18 2) (18 13 1) (30 35 1) (32 5 1) (32 14 1) (34 35 1) (17 3 1) (7 12 1) (12 17 2) (13 7 2) (20 13 1) (5 8 1) (8 10 1) (10 14 1) (14 20 1 :UP) (34 36 1) (36 28 2) (36 29 1) (9 22 1 :UP) (11 24 1 :UP))	((15 25 1) (11 9 1) (15 11 1) (33 15 1) (6 33 1) (9 6 1) (36 31 1) (10 23 1 :UP) (16 12 1) (26 35 1) (8 21 1 :UP) (27 35 2) (19 4 2) (4 20 1) (7 19 1) (3 18 2) (18 13 1) (30 35 1) (32 5 1) (32 14 1) (34 35 1) (17 3 1) (7 12 1) (12 17 2) (13 7 2) (20 13 1) (5 8 1) (8 10 1) (10 14 1) (14 20 1 :DOWN) (34 36 1) (36 28 2) (36 29 1) (9 22 1 :DOWN) (11 24 1 :DOWN) (6 2 1 :UP) (2 31 1) (5 1 1 :DOWN) (1 30 1))	
	CPD-14274	3-oxo-cerotoyl-CoA	ATOM-CHARGES	((67 -1) (65 -1) (62 -1) (61 -1))	((66 -1) (64 -1) (63 -1) (61 -1))	
			DISPLAY-COORDS-2D	((2598 49152) (-58685 105797) (-50435 105797) (9742 45027) (16887 49152) (24032 45027) (31176 49152) (38321 45027) (45466 49152) (52610 45027) (59755 49152) (66900 45027) (74044 49152) (74044 57402) (66900 61527) (59755 57402) (52610 61527) (45466 57402) (38321 61527) (31176 57402) (24031 61527) (16887 57402) (9742 61527) (2597 57402) (-4547 61527) (-61988 69777) (-54560 73902) (-47699 61527) (-40271 57402) (-18837 61527) (-1437 104486) (-47415 94528) (40881 86592) (30960 112023) (-11692 57402) (6409 101937) (-61988 61527) (-25981 57402) (40880 103091) (17209 94091) (8959 94091) (-61705 94528) (48025 98967) (33736 98966) (-61705 86278) (19758 101937) (-54560 98653) (55169 103092) (-54844 57402) (-54560 82152) (48025 90717) (33736 90716) (39165 111161) (27604 104486) (-11692 49152) (-69133 57402) (-25981 49152) (22058 87416) (-68850 98653) (-68849 82152) (-4141 79166) (12359 79166) (4109 70916) (-15521 106903) (-15521 90403) (-32021 106903) (-32021 90403) (-7271 98653) (-40271 98653) (13084 106786) (4109 87416) (-23771 98653) (4109 79166) (-15521 98653) (-32021 98653) (-33126 61527))	((2706300 124700) (93070 52140) (175360 195160) (2634860 83450) (2563410 124700) (2491960 83450) (2420520 124700) (2349070 83450) (2277620 124700) (2206180 83450) (2134730 124700) (2063280 83450) (1991840 124690) (1920390 83440) (1848950 124690) (1777500 83440) (1706050 124690) (1634610 83440) (1563160 124690) (1491710 83440) (1420260 124690) (1348820 83440) (1277370 124690) (1205920 83440) (1134480 124690) (491510 82920) (420010 124060) (705790 124480) (777300 83330) (991580 124690) (110940 579340) (62710 164800) (554230 737530) (425770 496670) (1063030 83440) (189730 603790) (562900 124270) (920140 83440) (534800 573690) (298760 680790) (216270 681890) (205720 82500) (610610 606240) (468710 623060) (277110 123860) (323210 602010) (134220 123650) (676700 556860) (634410 83130) (348620 82710) (620320 688150) (478430 704980) (508260 495570) (401320 575470) (1063030 940) (562780 206770) (920140 940) (348140 746880) (205840 0) (276990 206360) (86450 832050) (251450 831500) (169220 914280) (2840 412420) (149460 488110) (138860 262970) (0 352100) (34400 527470) (24870 238100) (255820 554410) (168670 749280) (113990 376960) (168950 831780) (76150 450270) (69430 307530) (848690 124690))	
			STRUCTURE-BONDS	((46 54 1 :DOWN) (70 46 1) (40 46 1) (36 70 1) (41 40 1) (40 58 1 :UP) (36 31 1 :DOWN) (41 36 1) (41 71 1 :UP) (49 28 1) (28 29 1) (29 76 1) (37 49 1) (26 37 1) (37 56 2) (27 50 1) (26 27 1) (45 50 1) (45 60 2) (45 42 1) (47 32 1) (32 69 1) (47 2 1) (42 47 1) (47 3 1) (42 59 1 :UP) (69 75 1) (75 72 1) (72 74 1) (74 68 1) (31 68 1) (75 66 2) (75 67 1) (74 64 2) (74 65 1) (71 73 1) (73 61 1) (73 62 1) (73 63 2) (44 54 1) (34 54 1) (39 44 2) (52 44 1) (53 34 2) (43 39 1) (53 39 1) (33 52 2) (51 43 2) (48 43 1) (51 33 1) (76 38 1) (38 57 2) (38 30 1) (30 35 1) (35 25 1) (25 24 1) (24 23 1) (23 22 1) (22 21 1) (21 20 1) (20 19 1) (19 18 1) (9 8 1) (8 7 1) (7 6 1) (6 5 1) (18 17 1) (17 16 1) (11 10 1) (10 9 1) (16 15 1) (15 14 1) (14 13 1) (13 12 1) (12 11 1) (5 4 1) (4 1 1) (35 55 2))	((76 38 1) (38 57 2) (38 30 1) (30 35 1) (35 25 1) (25 24 1) (24 23 1) (23 22 1) (22 21 1) (21 20 1) (20 19 1) (19 18 1) (9 8 1) (8 7 1) (7 6 1) (6 5 1) (18 17 1) (17 16 1) (11 10 1) (10 9 1) (16 15 1) (15 14 1) (14 13 1) (13 12 1) (12 11 1) (5 4 1) (4 1 1) (35 55 2) (46 54 1 :UP) (46 40 1) (70 46 1) (64 74 1) (40 58 1 :DOWN) (66 75 1) (54 34 1) (44 54 1) (33 52 2) (52 44 1) (68 31 1) (74 68 1) (53 39 1) (34 53 2) (50 45 1) (50 27 1) (61 73 1) (72 74 1) (75 72 1) (41 40 1) (41 71 1 :DOWN) (36 41 1) (47 32 1) (42 47 1) (47 2 1) (47 3 1) (39 44 2) (65 74 2) (51 33 1) (36 70 1) (62 73 2) (63 73 1) (32 69 1) (71 73 1) (36 31 1 :UP) (69 75 1) (67 75 2) (39 43 1) (43 51 2) (48 43 1) (45 42 1) (60 45 2) (42 59 1 :UP) (27 26 1) (26 37 1) (37 49 1) (37 56 2) (49 28 1) (28 29 1) (29 76 1))	
	CPDMETA-13652	raucaffrinoline	NON-STANDARD-INCHI	InChI=1S/C21H24N2O3/c1-10-13(9-24)12-7-16-19-21(14-5-3-4-6-15(14)22-19)8-17(23(10)16)18(12)20(21)26-11(2)25/h3-6,10,12-13,16-18,20,24H,7-9H2,1-2H3/t10-,12?,13-,16-,17-,18?,20?,21+/m0/s1	STANDARD-INCHI	
			INCHI-KEY	InChIKey=XIMPCXFLDSKALH-VQHWPEDHSA-N	InChIKey=XIMPCXFLDSKALH-GIELRJASSA-N	
