geneName,fullGeneName,Genename,Defline,Description,piDeprived,piReplete,log2FC,pvalue
Cre01.g000050,Cre01.g000050.t1.2,RWP14,"RWP-RK transcription factor","putative RWP-RK domain transcription factor [PMID: 15785851], however the domain is non-canonical (RWPaqk); model is very tentative",17,14,0.280107919192735,0.236564829945564
Cre01.g000200,Cre01.g000200.t1.2,,"","",53,32,0.727920454563199,0.0082544110142676
Cre01.g000250,Cre01.g000250.t1.1,,"","",128,191,-0.577428828035749,0.00024931373830913
Cre01.g000300,Cre01.g000300.t1.2,,"","",126,58,1.11929892837234,1.32206042890992e-07
Cre01.g000350,Cre01.g000350.t1.2,,"","",359,551,-0.618068474748106,1.04470415852249e-10
Cre01.g000400,Cre01.g000400.t1.1,,"","",51,27,0.917537839808027,0.00216744044175377
Cre01.g000450,Cre01.g000450.t1.1,,"","",100,93,0.104697378666693,0.282414217931595
Cre01.g000500,Cre01.g000500.t1.2,,"","",80,49,0.707218250772154,0.00232484790670884
Cre01.g000600,Cre01.g000600.t1.1,,"","",52,61,-0.230297619421794,0.225926634332871
Cre01.g000650,Cre01.g000650.t1.2,AMX2,"copper amine oxidase","possibly peroxisomal; contains PTS1 canonical sequence",126,8,3.97727992349992,0
Cre01.g000750,Cre01.g000750.t1.2,,"","",107,72,0.571541984958835,0.00348059546412738
Cre01.g000800,Cre01.g000800.t1.1,_,"predicted protein","_",15,44,-1.55254102302878,0.000101860928703928
Cre01.g000850,Cre01.g000850.t1.1,CPLD38,"predicted protein","Conserved expressed protein",691,939,-0.442439447265516,4.41053984441147e-10
Cre01.g000900,Cre01.g000900.t1.1,CPLD20,"predicted protein","Conserved expressed protein",690,626,0.140433704732913,0.0365637649946341
Cre01.g001100,Cre01.g001100.t1.1,,"","",234,242,-0.04849851769119,0.374183285309232
Cre01.g001150,Cre01.g001150.t1.2,,"","",21,19,0.144389909335175,0.31791400131442
Cre01.g001200,Cre01.g001200.t1.2,,"","",22,33,-0.584962500721156,0.0885006823851791
Cre01.g001237,Cre01.g001237.t1.1,,"","",187,303,-0.696279523585314,9.01386857438877e-08
Cre01.g001400,Cre01.g001400.t1.1,ZMP1,"zinc-metallopeptidase-like protein","partial sequence similar to leishmanolysin-like peptidase (peptidase M8 family); neutral zinc metallopeptidases; zinc-binding site",36,35,0.0406419844973458,0.406294324703081
Cre01.g001450,Cre01.g001450.t1.1,,"","",27,21,0.362570079384708,0.156163403736635
Cre01.g001550,Cre01.g001550.t1.2,,"","",295,347,-0.234220708329057,0.0220253470066032
Cre01.g001600,Cre01.g001600.t1.1,,"","",97,69,0.491388385408959,0.0120517153365735
Cre01.g001650,Cre01.g001650.t1.1,,"","",57,28,1.02553509210714,0.000508110475673895
Cre01.g001750,Cre01.g001750.t1.1,TIG1,"chloroplast trigger factor","involved in protein folding; contains a peptidyl-prolyl cis-trans isomerase (FKBP-type) domain and N- and C-terminal domains involved in ribosome-binding; probably located in chloroplast stroma",209,317,-0.600979898058524,1.42735918493551e-06
Cre01.g001800,Cre01.g001800.t1.2,,"","",71,53,0.421826664941483,0.0437763834450851
Cre01.g001950,Cre01.g001950.t1.1,,"","",56,47,0.252766070379967,0.162239390144033
Cre01.g002000,Cre01.g002000.t1.2,_,"predicted proteim","C2-domain containing protein; C2 domain is a Ca2+-binding motif present in phospholipases, protein kinases C, and synaptotagmins (amongst others)",500,441,0.181149439104566,0.0252070194523608
Cre01.g002050,Cre01.g002050.t1.2,,"","",74,46,0.685891409571937,0.00392329656121992
Cre01.g002150,Cre01.g002150.t1.1,,"","",25,11,1.18442457113743,0.00566549209179357
Cre01.g002200,Cre01.g002200.t1.2,RPB6,"subunit of DNA-directed RNA polymerase","putative DNA-directed RNA polymerase subunit, sequence similarity to yeast RNB6 (13-15 kDa)",251,378,-0.590698870270301,2.32374681071648e-07
Cre01.g002201,Cre01.g002201.t1.1,,"","",13,21,-0.691877704637668,0.114740506513044
Cre01.g002227,Cre01.g002227.t1.1,,"","",30,36,-0.263034405833794,0.269291387622973
Cre01.g002236,Cre01.g002236.t1.1,,"","",40,28,0.514573172829758,0.0571271534249617
Cre01.g002250,Cre01.g002250.t1.1,_,"Histone acetyltransferase","Histone acetyltransferase (GNAT/MYST superfamily), ChromDB HAG3406",55,39,0.495957494662411,0.0394877740005412
Cre01.g002300,Cre01.g002300.t1.1,CYN19-2,"peptidyl-prolyl cis-trans isomerase, cyclophilin-type","Peptidyl-prolyl cis-trans isomerase (rotamase), cyclophilin type [PMID: 15051864, PMID:15047905]; identical to AF052206 CYP1 [PMID: 10527429]; cytosolic; similar to At4g38740 (ROC1, AtCYP18-3) and At2g21130 (AtCYP19-2); found in the flagellar proteome [PMID: 15998802]",8374,13223,-0.659060705705672,5.54948284758814e-241
Cre01.g002350,Cre01.g002350.t1.2,,"","",93,83,0.164119379761107,0.203543617251978
Cre01.g002400,Cre01.g002400.t1.2,,"","",176,206,-0.227068908545921,0.0688835265091971
Cre01.g002450,Cre01.g002450.t1.2,,"","",33,27,0.289506617194985,0.183147003351645
Cre01.g002500,Cre01.g002500.t1.1,COP2,"chlamyopsin retinal binding protein","Chlamyopsin 2 (COP2); opsin-related, retinal binding protein; reference: Fuhrmann, M. and Hegemann, P.; Genbank entry AF295371; alternatively spliced version of chlamyopsin 1 (COP1); present in thylakoid-enriched fraction based on mass spectrometric peptide identification (Allmer, Naumann, Markert, Zhang and Hippler)",1217,2450,-1.0094525811762,4.3539856791165e-94
Cre01.g002550,Cre01.g002550.t1.2,,"","",303,237,0.354430734574692,0.00194780991442067
Cre01.g002600,Cre01.g002600.t1.1,,"","",24,22,0.125530882083859,0.329369038511828
Cre01.g002700,Cre01.g002700.t1.1,,"","",19,20,-0.0740005814437769,0.5
Cre01.g002750,Cre01.g002750.t1.1,,"","",16,14,0.192645077942396,0.292332355864346
Cre01.g002850,Cre01.g002850.t1.2,,"","",73,64,0.189824558880017,0.196493777310104
Cre01.g002900,Cre01.g002900.t1.1,,"","",459,489,-0.0913403115384258,0.173130432487598
Cre01.g002950,Cre01.g002950.t1.2,,"","",59,55,0.101283335837182,0.319884684321475
Cre01.g003150,Cre01.g003150.t1.1,,"","",24,12,1,0.0144083598279394
Cre01.g003200,Cre01.g003200.t1.1,,"","",37,56,-0.597901556428654,0.0306929493522297
Cre01.g003350,Cre01.g003350.t1.2,,"","",75,39,0.943416471633633,0.000237592662970965
Cre01.g003450,Cre01.g003450.t1.2,,"","",26,29,-0.15754127698648,0.393853094835022
Cre01.g003500,Cre01.g003500.t1.1,,"","",24,29,-0.273018494406416,0.291566077130588
Cre01.g003519,Cre01.g003519.t1.1,,"","",22,34,-0.628031222613042,0.0704477117992403
Cre01.g003540,Cre01.g003540.t1.1,,"","",168,138,0.283792966000591,0.038098841112728
Cre01.g003550,Cre01.g003550.t1.2,,"","",136,88,0.628031222613042,0.000508114097790724
Cre01.g003600,Cre01.g003600.t1.1,,"","",21,12,0.807354922057604,0.0400716562289745
Cre01.g003650,Cre01.g003650.t1.2,,"","",73,71,0.0400774393753351,0.401346677534864
Cre01.g003850,Cre01.g003850.t1.2,,"","",469,483,-0.0424352663203966,0.336767274101804
Cre01.g003900,Cre01.g003900.t1.1,,"","",31,33,-0.0901978089715781,0.450326623126017
Cre01.g003950,Cre01.g003950.t1.2,,"","",133,148,-0.15417093012776,0.201832444891499
Cre01.g004000,Cre01.g004000.t1.1,,"","",175,234,-0.419153607751076,0.00203833507175873
Cre01.g004100,Cre01.g004100.t1.2,,"","",14,22,-0.652076696579693,0.121492477017455
Cre01.g004124,Cre01.g004124.t1.2,,"","",88,130,-0.562936194391157,0.0026839594006418
Cre01.g004150,Cre01.g004150.t1.2,,"","",60,8,2.90689059560852,3.6937120029279e-12
Cre01.g004157,Cre01.g004157.t1.1,,"","",385,33,3.54432051622381,0
Cre01.g004200,Cre01.g004200.t1.1,,"","",86,54,0.671377252538629,0.00255127840491487
Cre01.g004250,Cre01.g004250.t1.1,TCTEX1,"Flagellar inner arm dynein light chain Tctex1","_",1024,741,0.466670267694166,6.24666984805344e-12
Cre01.g004300,Cre01.g004300.t1.1,_,"asparagine synthase","Asparagine synthase (glutamine-hydrolyzing)",655,969,-0.565001758990268,3.32585273708162e-15
Cre01.g004350,Cre01.g004350.t1.1,,"","",97,69,0.491388385408959,0.0120517153365735
Cre01.g004400,Cre01.g004400.t1.1,,"","",104,77,0.433653177446191,0.0185601377251987
Cre01.g004450,Cre01.g004450.t1.1,CPLD42,"membrane protein","Conserved expressed membrane protein of unknown function (DUF1517). This family consists of several hypothetical glycine rich plant and bacterial proteins of around 300 residues in length.",612,1038,-0.762202885665229,3.43813605625675e-26
Cre01.g004500,Cre01.g004500.t1.1,LEU1L,"isopropylmalate dehydratase, large subunit","putative 3-isopropylmalate dehydratase (EC 4.2.1.33), large subunit; isopropylmalate isomerase; similarity to rice IPMI (GenBank XP_463952); predicted as plastidic by Target-P and by homology",1762,1457,0.274213046855901,3.38230358165603e-08
Cre01.g004550,Cre01.g004550.t1.1,FAP190,"Flagellar Associated Protein","Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]",313,172,0.86375409223052,4.17116341466794e-11
Cre01.g004600,Cre01.g004600.t1.2,RWP12,"RWP-RK transcription factor","putative RWP-RK domain transcription factor [PMID: 15785851]; model is very tentative",37,22,0.750021746991653,0.018171589978527
Cre01.g004650,Cre01.g004650.t1.1,,"","",148,129,0.198226110205696,0.114712232314679
Cre01.g004700,Cre01.g004700.t1.1,_,"expressed hypothetical protein","_",33,66,-1,0.000592615712733846
Cre01.g004800,Cre01.g004800.t1.1,_,"expressed hypothetical protein","similarity to RWP-RK transcription factor",329,213,0.627234153509403,2.27180605216759e-07
Cre01.g004900,Cre01.g004900.t1.1,,"","",1777,639,1.47555584508168,0
Cre01.g004950,Cre01.g004950.t1.2,,"","",372,282,0.399607458709238,0.000182827412666731
Cre01.g005000,Cre01.g005000.t1.2,CPLD9,"predicted protein","Conserved expressed protein",115,88,0.386058432307078,0.0245607397304487
Cre01.g005050,Cre01.g005050.t1.1,,"","",1188,644,0.883402242686149,0
Cre01.g005100,Cre01.g005100.t1.2,,"","",50,41,0.286304185156641,0.147234892284267
Cre01.g005150,Cre01.g005150.t1.1,SGA1a,"serine glyoxylate aminotransferase","Putative aminotransferase (class V) with homology to serine glyoxylate aminotransferases from Arabidopsis (TrEMBL: 081248) and Frillaria agrestis (GenBank AAB95218); this is the longer and more abundant splicing variant SGA1a; both are predicted mitochondrial (TPlen 29) like orthologues in mouse, dog, X. laevis, C. elegans (plus Leishmania and Candida ?), but unlike Arabidopsis, C. merolae, D. discoideum, Drosophila etc... Danio rerio appears to have both a mitochondrial (79378) and a cytosolic (436603) isoform",902,526,0.778064633963078,0
Cre01.g005200,Cre01.g005200.t1.2,,"","",39,16,1.28540221886225,0.000507923597062643
Cre01.g005250,Cre01.g005250.t1.1,,"","",32,35,-0.129283016944966,0.403597345683513
Cre01.g005400,Cre01.g005400.t1.2,,"","",54,26,1.05444778402238,0.000526367428676622
Cre01.g005450,Cre01.g005450.t1.1,RSP10,"Radial spoke protein 10","A subunit in the radial spoke head with multiple MORN motifs [PMID: 16507594; GI:83284715]",923,595,0.633440979450468,0
Cre01.g005500,Cre01.g005500.t1.1,,"","",106,63,0.750640531063283,0.000333856819110023
Cre01.g005534,Cre01.g005534.t1.1,,"","",33,37,-0.165059246270496,0.360101386176431
Cre01.g005550,Cre01.g005550.t1.1,ARL2,"ARF-like GTPase","Expressed Protein. ARF-like 2, a member of the ARF/Sar1 GTPase family conserved in essentially all eukaryotes (A. thaliana ortholog - Titan5). Involved in the dynamics of the tubulin cytoskeleton probably via regulation of the assembly of alpha/beta tubulin dimers; Has 13,404 nt intron that spans many sequence gaps, may represent assembly problems with the scaffold",180,110,0.710493382805015,1.39890105886886e-05
Cre01.g005650,Cre01.g005650.t1.1,,"","",74,52,0.509013647487858,0.0200178796781419
Cre01.g005800,Cre01.g005800.t1.2,,"","",257,161,0.674707671079261,9.43439299572191e-07
Cre01.g005813,Cre01.g005813.t1.1,,"","",24,17,0.497499659470817,0.1055117988044
