Pathway-id	Pathway-name	Reaction-id	EC	Protein-id	Protein-name	Gene-id	Gene-name
PWY-2161	folate polyglutamylation	FORMYLTHFGLUSYNTH-RXN	EC-6.3.2.17	CRE05.G239067-MONOMER	10-formyl-tetrahydrofolylpolyglutamate synthetase	CRE05.G239067	Cre05.g239067
PWY-2161	folate polyglutamylation	FORMYLTHFGLUSYNTH-RXN	EC-6.3.2.17	CRE05.G239100-MONOMER	10-formyl-tetrahydrofolylpolyglutamate synthetase	CRE05.G239100	Cre05.g239100
PWY-2161	folate polyglutamylation	RXN0-2921	EC-6.3.2.17	unknown	unknown	unknown	unknown
PWY-2161	folate polyglutamylation	FOLYLPOLYGLUTAMATESYNTH-RXN	EC-6.3.2.17	CRE05.G239067-MONOMER	folylpoly-&alpha;-glutamate synthetase	CRE05.G239067	Cre05.g239067
PWY-2161	folate polyglutamylation	FOLYLPOLYGLUTAMATESYNTH-RXN	EC-6.3.2.17	CRE05.G239100-MONOMER	folylpoly-&alpha;-glutamate synthetase	CRE05.G239100	Cre05.g239100
PWY-2161	folate polyglutamylation	GLYOHMETRANS-RXN	EC-2.1.2.1	CRE16.G664550-MONOMER	5,10-methylenetetrahydrofolate:glycine hydroxymethyltransferase	CRE16.G664550	Cre16.g664550
PWY-2161	folate polyglutamylation	GLYOHMETRANS-RXN	EC-2.1.2.1	CRE06.G293950-MONOMER	5,10-methylenetetrahydrofolate:glycine hydroxymethyltransferase	CRE06.G293950	Cre06.g293950
PWY-2161	folate polyglutamylation	GLYOHMETRANS-RXN	EC-2.1.2.1	CRE09.G411900-MONOMER	5,10-methylenetetrahydrofolate:glycine hydroxymethyltransferase	CRE09.G411900	Cre09.g411900
PWY-2161	folate polyglutamylation	FORMATETHFLIG-RXN	EC-6.3.4.3	CRE13.G566000-MONOMER	formate:tetrahydropteroylpolyglutamate ligase	CRE13.G566000	Cre13.g566000
PWY-6938	NADH repair	RXN-12754	-	unknown	unknown	unknown	unknown
PWY-6938	NADH repair	RXN-12752	EC-5.1.99.6	CRE08.G378200-MONOMER	NADHX epimerase	CRE08.G378200	Cre08.g378200
PWY-6938	NADH repair	RXN-12753	-	unknown	unknown	unknown	unknown
PWY-6938	NADH repair	4.2.1.93-RXN	EC-4.2.1.93	CRE06.G250500-MONOMER	ATP-dependent NADH-hydrate dehydratase	CRE06.G250500	Cre06.g250500
PWY-6938	NADH repair	4.2.1.93-RXN	EC-4.2.1.93	CRE05.G234664-MONOMER	ATP-dependent NADH-hydrate dehydratase	CRE05.G234664	Cre05.g234664
PWY-63	UDP-&beta;-L-arabinose biosynthesis I (from UDP-&alpha;-D-xylose)	UDP-ARABINOSE-4-EPIMERASE-RXN	EC-5.1.3.5	CRE09.G401022-MONOMER	UDP-xylose 4-epimerase	CRE09.G401022	Cre09.g401022
ILEUDEG-PWY	L-isoleucine degradation I	2-METHYLACYL-COA-DEHYDROGENASE-RXN	EC-1.3.8.5	unknown	unknown	unknown	unknown
ILEUDEG-PWY	L-isoleucine degradation I	2KETO-3METHYLVALERATE-RXN	EC-1.2.1.25	unknown	unknown	unknown	unknown
ILEUDEG-PWY	L-isoleucine degradation I	METHYLACETOACETYLCOATHIOL-RXN	EC-2.3.1.16	unknown	unknown	unknown	unknown
ILEUDEG-PWY	L-isoleucine degradation I	TIGLYLCOA-HYDROXY-RXN	EC-4.2.1.17	unknown	unknown	unknown	unknown
ILEUDEG-PWY	L-isoleucine degradation I	1.1.1.178-RXN	EC-1.1.1.178	unknown	unknown	unknown	unknown
ILEUDEG-PWY	L-isoleucine degradation I	BRANCHED-CHAINAMINOTRANSFERILEU-RXN	EC-2.6.1.42	unknown	unknown	unknown	unknown
PWY-3261	UDP-&beta;-L-rhamnose biosynthesis	RXN-18332	EC-5.1.3	MONOMERIO2-5880	UDP-4-dehydro-6-deoxy-&alpha;-D-glucose 3,5-epimerase	CRE09.G387171	Cre09.g387171
PWY-3261	UDP-&beta;-L-rhamnose biosynthesis	RXN-18332	EC-5.1.3	CRE10.G435800-MONOMER	UDP-4-dehydro-6-deoxy-&alpha;-D-glucose 3,5-epimerase	CRE10.G435800	Cre10.g435800
PWY-3261	UDP-&beta;-L-rhamnose biosynthesis	RXN-18332	EC-5.1.3	CRE10.G440050-MONOMER	UDP-4-dehydro-6-deoxy-&alpha;-D-glucose 3,5-epimerase	CRE10.G440050	Cre10.g440050
PWY-3261	UDP-&beta;-L-rhamnose biosynthesis	RXN-10740	EC-1.1.1	MONOMERIO2-5880	UDP-4-keto-rhamnose-4-keto-reductase	CRE09.G387171	Cre09.g387171
PWY-3261	UDP-&beta;-L-rhamnose biosynthesis	RXN-10740	EC-1.1.1	CRE10.G435800-MONOMER	UDP-4-keto-rhamnose-4-keto-reductase	CRE10.G435800	Cre10.g435800
PWY-3261	UDP-&beta;-L-rhamnose biosynthesis	RXN-10740	EC-1.1.1	CRE10.G440050-MONOMER	UDP-4-keto-rhamnose-4-keto-reductase	CRE10.G440050	Cre10.g440050
PWY-3261	UDP-&beta;-L-rhamnose biosynthesis	UDP-GLUCOSE-46-DEHYDRATASE-RXN	EC-4.2.1.76	CRE10.G435800-MONOMER	UDP-glucose 4,6-dehydratase	CRE10.G435800	Cre10.g435800
PWY-3261	UDP-&beta;-L-rhamnose biosynthesis	UDP-GLUCOSE-46-DEHYDRATASE-RXN	EC-4.2.1.76	CRE10.G440050-MONOMER	UDP-glucose 4,6-dehydratase	CRE10.G440050	Cre10.g440050
PWY-7185	UTP and CTP dephosphorylation I	RXN-12200	EC-3.6.1.5	CRE03.G171200-MONOMER		CRE03.G171200	Cre03.g171200
PWY-7185	UTP and CTP dephosphorylation I	RXN-12200	EC-3.6.1.5	MONOMERIO2-5902		CRE06.G273500	Cre06.g273500
PWY-7185	UTP and CTP dephosphorylation I	RXN-12200	EC-3.6.1.5	CRE07.G330600-MONOMER		CRE07.G330600	Cre07.g330600
PWY-7185	UTP and CTP dephosphorylation I	RXN-12199	EC-3.6.1.5	CRE03.G171200-MONOMER		CRE03.G171200	Cre03.g171200
PWY-7185	UTP and CTP dephosphorylation I	RXN-12199	EC-3.6.1.5	MONOMERIO2-5902		CRE06.G273500	Cre06.g273500
PWY-7185	UTP and CTP dephosphorylation I	RXN-12199	EC-3.6.1.5	CRE07.G330600-MONOMER		CRE07.G330600	Cre07.g330600
PWY-7185	UTP and CTP dephosphorylation I	RXN-14026	EC-3.1.3.91	CRE12.G524700-MONOMER		CRE12.G524700	Cre12.g524700
PWY-7185	UTP and CTP dephosphorylation I	RXN-14026	EC-3.1.3.91	CRE10.G456900-MONOMER		CRE10.G456900	Cre10.g456900
PWY-7185	UTP and CTP dephosphorylation I	RXN-14026	EC-3.1.3.91	CRE10.G436500-MONOMER		CRE10.G436500	Cre10.g436500
PWY-7185	UTP and CTP dephosphorylation I	RXN-14026	EC-3.1.3.91	CRE03.G180450-MONOMER		CRE03.G180450	Cre03.g180450
PWY-7185	UTP and CTP dephosphorylation I	RXN-14026	EC-3.1.3.91	CRE03.G180600-MONOMER		CRE03.G180600	Cre03.g180600
PWY-7185	UTP and CTP dephosphorylation I	RXN-14026	EC-3.1.3.91	CRE03.G171600-MONOMER		CRE03.G171600	Cre03.g171600
PWY-7185	UTP and CTP dephosphorylation I	RXN-14026	EC-3.1.3.91	CRE03.G180550-MONOMER		CRE03.G180550	Cre03.g180550
PWY-7185	UTP and CTP dephosphorylation I	RXN-14026	EC-3.1.3.91	CRE13.G573150-MONOMER		CRE13.G573150	Cre13.g573150
PWY-7185	UTP and CTP dephosphorylation I	RXN-14025	EC-3.1.3.5	CRE12.G524700-MONOMER		CRE12.G524700	Cre12.g524700
PWY-7185	UTP and CTP dephosphorylation I	RXN-14025	EC-3.1.3.5	CRE10.G456900-MONOMER		CRE10.G456900	Cre10.g456900
PWY-7185	UTP and CTP dephosphorylation I	RXN-14025	EC-3.1.3.5	CRE10.G436500-MONOMER		CRE10.G436500	Cre10.g436500
PWY-7185	UTP and CTP dephosphorylation I	RXN-14025	EC-3.1.3.5	CRE03.G180450-MONOMER		CRE03.G180450	Cre03.g180450
PWY-7185	UTP and CTP dephosphorylation I	RXN-14025	EC-3.1.3.5	CRE03.G180600-MONOMER		CRE03.G180600	Cre03.g180600
PWY-7185	UTP and CTP dephosphorylation I	RXN-14025	EC-3.1.3.5	CRE03.G171600-MONOMER		CRE03.G171600	Cre03.g171600
PWY-7185	UTP and CTP dephosphorylation I	RXN-14025	EC-3.1.3.5	CRE03.G180550-MONOMER		CRE03.G180550	Cre03.g180550
PWY-7185	UTP and CTP dephosphorylation I	RXN-14025	EC-3.1.3.5	CRE13.G573150-MONOMER		CRE13.G573150	Cre13.g573150
PWY-7185	UTP and CTP dephosphorylation I	CTPSYN-RXN	EC-6.3.4.2	CRE09.G406050-MONOMER	CTP synthetase	CRE09.G406050	Cre09.g406050
PWY-6527	stachyose degradation	GLUC1PURIDYLTRANS-RXN	EC-2.7.7.64	CRE07.G345300-MONOMER	UTP&mdash;glucose-1-phosphate uridylyltransferase	CRE07.G345300	Cre07.g345300
PWY-6527	stachyose degradation	GLUC1PURIDYLTRANS-RXN	EC-2.7.7.64	CRE04.G229700-MONOMER	UTP&mdash;glucose-1-phosphate uridylyltransferase	CRE04.G229700	Cre04.g229700
PWY-6527	stachyose degradation	GLUC1PURIDYLTRANS-RXN	EC-2.7.7.64	CRE12.G554250-MONOMER	UTP&mdash;glucose-1-phosphate uridylyltransferase	CRE12.G554250	Cre12.g554250
PWY-6527	stachyose degradation	GLUC1PURIDYLTRANS-RXN	EC-2.7.7.64	CRE14.G621751-MONOMER	UTP&mdash;glucose-1-phosphate uridylyltransferase	CRE14.G621751	Cre14.g621751
PWY-6527	stachyose degradation	GALACTOKIN-RXN	EC-2.7.1.6	CRE06.G291400-MONOMER	galactokinase	CRE06.G291400	Cre06.g291400
PWY-6527	stachyose degradation	GALACTOKIN-RXN	EC-2.7.1.6	CRE17.G732300-MONOMER	galactokinase	CRE17.G732300	Cre17.g732300
PWY-6527	stachyose degradation	GALACTURIDYLYLTRANS-RXN	EC-2.7.7.12	unknown	unknown	unknown	unknown
PWY-6527	stachyose degradation	RXN-11502	EC-3.2.1	unknown	unknown	unknown	unknown
