This file contains a set of tab-delimited tables describing the differences between an existing PGDB and a new annotation file.
This file was generated on 08-Jun-2018  09:39:34.

Changes to Gene Attributes
The following 6 genes have changes to the COMMON-NAME attribute:

* = already updated

 	Gene ID	Gene Accession	Old Value(s)	New Value(s)	
	GIO2-3541	Cre02.g106400	PDAT1	Cre02.g106400	
	GIO2-44	Cre03.g165700	PDC3	Cre03.g165700	
	GIO2-230	Cre03.g188250	STA6	Cre03.g188250	
	GIO2-1906	Cre06.g288700	GDH	Cre06.g288700	
	CHLREDRAFT_128906	Cre07.g348600	SULP1	Cre07.g348600	
	CHLREDRAFT_177155	Cre16.g650100	PETN	Cre16.g650100	

The following 2523 genes have changes to the enzyme activity name:

* = already updated

 	Gene ID	Gene Accession	Old Activity Name	New Activity Name	
	GIO2-4481	Cre36.g759647	sucrose-phosphate phosphatase	<none>	
	GIO2-1091	Cre33.g758947	[heparan sulfate]-glucosamine N-sulfotransferase	<none>	
	GIO2-3734	Cre29.g757897	fatty-acyl-CoA synthase	<none>	
	GIO2-2604	Cre26.g756847	triacylglycerol lipase	<none>	
	GIO2-294	Cre24.g755597	chlorophyllide-a oxygenase	<none>	
	GIO2-294	Cre24.g755597	chlorophyllide-a monooxygenase	<none>	
	GIO2-294	Cre24.g755597	71-hydroxychlorophyllide a monooxygenase	<none>	
	GIO2-800	Cre24.g755097	arsenite-transporting ATPase	<none>	
	GIO2-758	Cre20.g751697	triacylglycerol lipase	<none>	
	GIO2-758	Cre20.g751697	sterol esterase	<none>	
	GIO2-5001	Cre19.g750897	dCMP deaminase	<none>	
	GIO2-1355	Cre19.g750547	NAD(P)H dehydrogenase (quinone)	<none>	
	GIO2-297	Cre19.g750397	lysozyme	<none>	
	GIO2-2144	Cre19.g750247	z-carotene isomerase	<none>	
	GIO2-3695	Cre18.g749847	dihydrolipoyl dehydrogenase	<none>	
	GIO2-3695	Cre18.g749847	dihydrolipoyl dehydrogenase	<none>	
	GIO2-5199	Cre18.g749697	glycoprotein 3-a-L-fucosyltransferase	<none>	
	GIO2-626	Cre18.g749647	phosphoribosylamine-glycine ligase	<none>	
	GIO2-1818	Cre18.g749497	phosphoribosylamine-glycine ligase	<none>	
	GIO2-344	Cre18.g749447	homoserine dehydrogenase	<none>	
	GIO2-344	Cre18.g749447	aspartate kinase	<none>	
	GIO2-1027	Cre18.g749047	glycoprotein 6-a-L-fucosyltransferase	<none>	
	GIO2-5028	Cre18.g748497	phosphatidylinositol-3,4-bisphosphate 4-phosphatase	<none>	
	GIO2-560	Cre17.g747647	calmodulin-lysine N-methyltransferase	<none>	
	GIO2-1638	Cre17.g746997	acetaldehyde dehydrogenase (acetylating)	<none>	
	GIO2-1490	Cre17.g744997	1-hydroxycarotenoid 3,4-desaturase	<none>	
	GIO2-1490	Cre17.g744997	rhodovibrin 3,4-desaturase	<none>	
	GIO2-2160	Cre17.g744597	malate dehydrogenase	<none>	
	GIO2-498	Cre17.g744447	Na+-exporting ATPase	<none>	
	GIO2-1063	Cre17.g743897	peroxiredoxin	<none>	
	GIO2-1105	Cre17.g743797	flavin-containing monooxygenase	<none>	
	GIO2-1080	Cre17.g743547	sulfate-transporting ATPase	<none>	
	GIO2-1080	Cre17.g743547	Cre17.g743547.t1.1	<none>	
	GIO2-1080	Cre17.g743547	Cre17.g743547.t1.1	<none>	
	GIO2-5079	Cre17.g742450	glutathione transferase	<none>	
	GIO2-4633	Cre17.g742300	glutathione transferase	<none>	
	GIO2-1410	Cre17.g742000	phosphatidylinositol-3,4-bisphosphate 4-phosphatase	<none>	
	GIO2-1410	Cre17.g742000	phosphatidylinositol-3,4-bisphosphate 4-phosphatase	<none>	
	GIO2-1410	Cre17.g742000	phosphatidylinositol-3,4-bisphosphate 4-phosphatase	<none>	
	GIO2-425	Cre17.g741400	adenylate cyclase	<none>	
	GIO2-4991	Cre17.g739550	adenylate kinase	<none>	
	GIO2-423	Cre17.g739300	thiamine phosphate synthase	<none>	
	GIO2-423	Cre17.g739300	thiamin phosphate synthase	<none>	
	GIO2-423	Cre17.g739300	thiamine-phosphate diphosphorylase	<none>	
	GIO2-1587	Cre17.g738350	1-acylglycerol-3-phosphate O-acyltransferase	<none>	
	GIO2-1037	Cre17.g738250	ditrans,polycis-undecaprenyl-diphosphate synthase [(2E,6E)-farnesyl-diphosphate specific]	<none>	
	GIO2-357	Cre17.g737650	ElmD	<none>	
	GIO2-805	Cre17.g737525	exo-a-sialidase	<none>	
	GIO2-4620	Cre17.g735950	Cre17.g735950.t1.2	<none>	
	GIO2-4620	Cre17.g735950	<none>	<none>	
	GIO2-304	Cre17.g735600	triacylglycerol lipase	<none>	
	GIO2-1691	Cre17.g734644	squalene monooxygenase	<none>	
	GIO2-4963	Cre17.g734612	xenobiotic-transporting ATPase	<none>	
	GIO2-316	Cre17.g734548	pyruvate, phosphate dikinase	<none>	
	GIO2-257	Cre17.g734500	H+-transporting two-sector ATPase	<none>	
	GIO2-1759	Cre17.g734200	LL-diaminopimelate aminotransferase	<none>	
	GIO2-4611	Cre17.g734100	<none>	<none>	
	GIO2-766	Cre17.g733702	8-amino-7-oxononanoate synthase	<none>	
	GIO2-5067	Cre17.g733650	8-amino-7-oxononanoate synthase	<none>	
	GIO2-757	Cre17.g732802	fumarylacetoacetase	<none>	
	GIO2-3200	Cre17.g732300	galactokinase	<none>	
	GIO2-4052	Cre17.g731850	2,4-dienoyl-CoA reductase (NADPH)	<none>	
	GIO2-1194	Cre17.g731750	(+)-abscisic acid 8'-hydroxylase	<none>	
	GIO2-1044	Cre17.g731700	flavin-containing monooxygenase	<none>	
	GIO2-1443	Cre17.g731600	1-phosphatidylinositol-4-phosphate 5-kinase	<none>	
	GIO2-4961	Cre17.g731350	carbonyl reductase (NADPH)	<none>	
	GIO2-4961	Cre17.g731350	prostaglandin-E2 9-reductase	<none>	
	GIO2-4961	Cre17.g731350	15-hydroxyprostaglandin dehydrogenase (NADP+)	<none>	
	GIO2-1096	Cre17.g731050	iron-chelate-transporting ATPase	<none>	
	GIO2-1096	Cre17.g731050	iron-chelate-transporting ATPase	<none>	
	GIO2-1755	Cre17.g730700	pyridoxal 4-dehydrogenase	<none>	
	GIO2-1636	Cre17.g730600	<none>	<none>	
	GIO2-3038	Cre17.g730550	<none>	<none>	
	GIO2-4733	Cre17.g729950	<none>	<none>	
	GIO2-1911	Cre17.g729850	1-phosphatidylinositol-4-phosphate 5-kinase	<none>	
	GIO2-323	Cre17.g729750	aralkylamine N-acetyltransferase	<none>	
	GIO2-1363	Cre17.g729400	adenylate cyclase	<none>	
	GIO2-1256	Cre17.g729350	adenylate cyclase	<none>	
	GIO2-307	Cre17.g728950	5-amino-6-(5-phosphoribosylamino)uracil reductase	<none>	
	GIO2-1174	Cre17.g728900	transaldolase	<none>	
	GIO2-4703	Cre17.g728800	<none>	<none>	
	GIO2-665	Cre17.g728400	sulfate-transporting ATPase	<none>	
	GIO2-3338	Cre17.g728100	Cre17.g728100.t1.2	<none>	
	GIO2-4502	Cre17.g727650	cadmium-transporting ATPase	<none>	
	GIO2-4915	Cre17.g727300	<none>	<none>	
	GIO2-4519	Cre17.g726750	<none>	<none>	
	GIO2-784	Cre17.g726700	acetate-CoA ligase	<none>	
	GIO2-2447	Cre17.g726150	ATPase	<none>	
	GIO2-779	Cre17.g725950	N-acetylgalactosamine 4-sulfate 6-O-sulfotransferase	<none>	
	GIO2-779	Cre17.g725950	N-acetylgalactosamine 4-sulfate 6-O-sulfotransferase	<none>	
	GIO2-4239	Cre17.g725550	<none>	<none>	
	GIO2-432	Cre17.g725200	xenobiotic-transporting ATPase	<none>	
	GIO2-3554	Cre17.g725150	<none>	<none>	
	GIO2-1449	Cre17.g724700	pheophorbide a oxygenase	<none>	
	GIO2-1476	Cre17.g724650	antheraxanthin epoxidase	<none>	
	GIO2-3993	Cre17.g724600	<none>	<none>	
	GIO2-1290	Cre17.g724300	photosystem I	<none>	
	GIO2-5380	Cre17.g724150	Cre17.g724150.t1.1	<none>	
	GIO2-4800	Cre17.g723650	acetyl-CoA C-acyltransferase	<none>	
	GIO2-4800	Cre17.g723650	acetyl-CoA C-acyltransferase	<none>	
	GIO2-4800	Cre17.g723650	acetyl-CoA C-acyltransferase	<none>	
	GIO2-4800	Cre17.g723650	acetyl-CoA C-acyltransferase	<none>	
	GIO2-4682	Cre17.g723550	inositol-phosphate phosphatase	<none>	
	GIO2-4682	Cre17.g723550	inositol-phosphate phosphatase	<none>	
	GIO2-4682	Cre17.g723550	inositol-phosphate phosphatase	<none>	
	GIO2-4682	Cre17.g723550	histidinol-phosphatase	<none>	
	GIO2-4682	Cre17.g723550	Cre17.g723550.t1.2	<none>	
	GIO2-3415	Cre17.g723500	Fe3+-transporting ATPase	<none>	
	GIO2-2404	Cre17.g723150	thiol oxidase	<none>	
	GIO2-3394	Cre17.g723050	flavin-containing monooxygenase	<none>	
	GIO2-669	Cre17.g723000	Cre17.g723000.t1.1	<none>	
	GIO2-669	Cre17.g723000	Cre17.g723000.t1.1	<none>	
	GIO2-4014	Cre17.g722800	Cre17.g722800.t1.2	<none>	
	GIO2-2237	Cre17.g722150	Cre17.g722150.t1.2	<none>	
	GIO2-889	Cre17.g721750	xylogalacturonan b-1,3-xylosyltransferase	<none>	
	GIO2-2296	Cre17.g721500	NDP-glucose-starch glucosyltransferase	<none>	
	GIO2-2296	Cre17.g721500	NDP-glucose-starch glucosyltransferase	<none>	
	GIO2-1261	Cre17.g721350	glutathione transferase	<none>	
	GIO2-4235	Cre17.g721000	polyamine-transporting ATPase	<none>	
	GIO2-4235	Cre17.g721000	<none>	<none>	
	GIO2-4846	Cre17.g720950	Cre17.g720950.t1.1	<none>	
	GIO2-1480	Cre17.g720528	hexokinase	<none>	
	GIO2-320	Cre17.g720400	Ca2+-transporting ATPase	<none>	
	GIO2-824	Cre17.g720250	photosystem II	<none>	
	GIO2-4720	Cre17.g719900	phosphoglucan, water dikinase	<none>	
	GIO2-4720	Cre17.g719900	phosphoglucan, water dikinase	<none>	
	GIO2-1650	Cre17.g719500	phytoene desaturase (z-carotene-forming)	<none>	
	GIO2-1650	Cre17.g719500	15-cis-phytoene desaturase	<none>	
	GIO2-1650	Cre17.g719500	all-trans phytofluene desaturase	<none>	
	GIO2-5068	Cre17.g718600	acylglycerol lipase	<none>	
	GIO2-960	Cre17.g718250	dTDP-4-dehydrorhamnose reductase	<none>	
	GIO2-2518	Cre17.g717350	<none>	<none>	
	GIO2-1848	Cre17.g717050	polar-amino-acid-transporting ATPase	<none>	
	GIO2-5197	Cre17.g716451	gibberellin 2b-dioxygenase	<none>	
	GIO2-4515	Cre17.g715900	<none>	<none>	
	GIO2-4515	Cre17.g715900	<none>	<none>	
	GIO2-4290	Cre17.g715500	peroxiredoxin	<none>	
	GIO2-3950	Cre17.g715250	acetyl-CoA carboxylase	<none>	
	GIO2-1530	Cre17.g714250	monodehydroascorbate reductase (NADH)	<none>	
	GIO2-627	Cre17.g713850	serine O-acetyltransferase	<none>	
	GIO2-1377	Cre17.g713700	indoleamine 2,3-dioxygenase	<none>	
	GIO2-1377	Cre17.g713700	tryptophan 2,3-dioxygenase	<none>	
	GIO2-2855	Cre17.g712100	<none>	<none>	
	GIO2-3375	Cre17.g711200	sugar-terminal-phosphatase	<none>	
	GIO2-3303	Cre17.g711150	<none>	<none>	
	GIO2-3303	Cre17.g711150	<none>	<none>	
