tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
g2	-	-	g2	g2	-	chromosome_1:18765-20237	-	-	19.6563	17.5993	21.7134	OK
g3	-	-	g3	g3	-	chromosome_1:20355-23957	-	-	0.744384	0.462421	1.02635	OK
Cre01.g000050	-	-	Cre01.g000050	RWP14	-	chromosome_1:24025-30617	-	-	3.22031	2.85299	3.58762	OK
Cre01.g000100	-	-	Cre01.g000100	Cre01.g000100	-	chromosome_1:30775-41037	-	-	0.767052	0.617035	0.917069	OK
Cre01.g000150	-	-	Cre01.g000150	ZRT2	-	chromosome_1:41895-46547	-	-	98.4654	95.9147	101.016	OK
Cre01.g000200	-	-	Cre01.g000200	Cre01.g000200	-	chromosome_1:46552-51525	-	-	5.2172	4.54169	5.89271	OK
Cre01.g000250	-	-	Cre01.g000250	Cre01.g000250	-	chromosome_1:51589-54035	-	-	8.46617	7.32199	9.61035	OK
Cre01.g000300	-	-	Cre01.g000300	Cre01.g000300	-	chromosome_1:54135-57919	-	-	16.0081	14.7562	17.26	OK
Cre01.g000350	-	-	Cre01.g000350	Cre01.g000350	-	chromosome_1:57976-60685	-	-	38.4673	35.7607	41.1738	OK
Cre01.g000400	-	-	Cre01.g000400	Cre01.g000400	-	chromosome_1:60739-64955	-	-	1.71414	1.26907	2.15921	OK
Cre01.g000450	-	-	Cre01.g000450	Cre01.g000450	-	chromosome_1:65055-70197	-	-	3.28234	2.76888	3.7958	OK
Cre01.g000500	-	-	Cre01.g000500	Cre01.g000500	-	chromosome_1:70245-77235	-	-	4.1702	3.60468	4.73573	OK
Cre01.g000550	-	-	Cre01.g000550	Cre01.g000550	-	chromosome_1:77365-83717	-	-	0.0678272	0.00239818	0.133256	OK
Cre01.g000600	-	-	Cre01.g000600	Cre01.g000600	-	chromosome_1:83749-88945	-	-	23.144	21.5845	24.7034	OK
Cre01.g000650	-	-	Cre01.g000650	AMX2	-	chromosome_1:89575-97537	-	-	2.73833	2.30936	3.16729	OK
g17	-	-	g17	g17	-	chromosome_1:97539-103735	-	-	1.03008	0.764344	1.29582	OK
Cre01.g000750	-	-	Cre01.g000750	Cre01.g000750	-	chromosome_1:103895-110765	-	-	8.6041	7.87562	9.33258	OK
Cre01.g000800	-	-	Cre01.g000800	Cre01.g000800	-	chromosome_1:111400-113923	-	-	6.02322e-05	0	0.115864	OK
g19	-	-	g19	g19	-	chromosome_1:111400-113935	-	-	2.98096	2.1378	3.82412	OK
Cre01.g000850	-	-	Cre01.g000850	CPLD38	-	chromosome_1:114409-116415	-	-	55.0684	51.6824	58.4545	OK
Cre01.g000900	-	-	Cre01.g000900	CPLD20	-	chromosome_1:116525-120738	-	-	65.268	62.6388	67.8972	OK
Cre01.g000950	-	-	Cre01.g000950	Cre01.g000950	-	chromosome_1:121435-126517	-	-	0.153676	0.0414469	0.265905	OK
Cre01.g001000	-	-	Cre01.g001000	Cre01.g001000	-	chromosome_1:126579-132075	-	-	0.273032	0.140592	0.405472	OK
Cre01.g001100	-	-	Cre01.g001100	Cre01.g001100	-	chromosome_1:133426-138095	-	-	17.8328	16.5873	19.0783	OK
Cre01.g001150	-	-	Cre01.g001150	Cre01.g001150	-	chromosome_1:138225-151966	-	-	3.62804	3.33031	3.92576	OK
Cre01.g001200	-	-	Cre01.g001200	Cre01.g001200	-	chromosome_1:152545-165736	-	-	19.3555	18.6386	20.0723	OK
g28	-	-	g28	g28	-	chromosome_1:166881-177525	-	-	4.52727	4.19206	4.86248	OK
g29	-	-	g29	g29	-	chromosome_1:179761-209575	-	-	2.03278	1.86261	2.20295	OK
Cre01.g001350	-	-	Cre01.g001350	Cre01.g001350	-	chromosome_1:209955-218641	-	-	0.783136	0.532332	1.03394	OK
Cre01.g001400	-	-	Cre01.g001400	ZMP1	-	chromosome_1:218741-224662	-	-	1.46356	1.19179	1.73534	OK
g32	-	-	g32	g32	-	chromosome_1:225011-229655	-	-	1.17382	0.83887	1.50877	OK
g33	-	-	g33	g33	-	chromosome_1:230215-237771	-	-	2.56927	2.16679	2.97175	OK
Cre01.g001550	-	-	Cre01.g001550	Cre01.g001550	-	chromosome_1:237941-243824	-	-	37.468	35.5021	39.4339	OK
Cre01.g001600	-	-	Cre01.g001600	Cre01.g001600	-	chromosome_1:245101-248187	-	-	3.62114	3.04862	4.19366	OK
Cre01.g001650	-	-	Cre01.g001650	Cre01.g001650	-	chromosome_1:248745-253111	-	-	2.67207	2.09953	3.24461	OK
