tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
g2	-	-	g2	g2	-	chromosome_1:18765-20237	-	-	178.697	172.715	184.679	OK
g3	-	-	g3	g3	-	chromosome_1:20355-23957	-	-	0.389524	0.192786	0.586261	OK
Cre01.g000050	-	-	Cre01.g000050	RWP14	-	chromosome_1:24025-30617	-	-	2.20605	1.91281	2.49929	OK
Cre01.g000100	-	-	Cre01.g000100	Cre01.g000100	-	chromosome_1:30775-41037	-	-	0.171765	0.103292	0.240239	OK
Cre01.g000150	-	-	Cre01.g000150	ZRT2	-	chromosome_1:41895-46547	-	-	37.3224	35.8077	38.8371	OK
Cre01.g000200	-	-	Cre01.g000200	Cre01.g000200	-	chromosome_1:46552-51525	-	-	3.6734	3.12667	4.22013	OK
Cre01.g000250	-	-	Cre01.g000250	Cre01.g000250	-	chromosome_1:51589-54035	-	-	7.37315	6.34322	8.40308	OK
Cre01.g000300	-	-	Cre01.g000300	Cre01.g000300	-	chromosome_1:54135-57919	-	-	16.2143	14.999	17.4296	OK
Cre01.g000350	-	-	Cre01.g000350	Cre01.g000350	-	chromosome_1:57976-60685	-	-	33.087	30.6658	35.5081	OK
Cre01.g000400	-	-	Cre01.g000400	Cre01.g000400	-	chromosome_1:60739-64955	-	-	0.371819	0.17188	0.571758	OK
Cre01.g000450	-	-	Cre01.g000450	Cre01.g000450	-	chromosome_1:65055-70197	-	-	1.87235	1.49829	2.24641	OK
Cre01.g000500	-	-	Cre01.g000500	Cre01.g000500	-	chromosome_1:70245-77235	-	-	2.04048	1.65891	2.42204	OK
Cre01.g000550	-	-	Cre01.g000550	Cre01.g000550	-	chromosome_1:77365-83717	-	-	0.0297127	0	0.071483	OK
Cre01.g000600	-	-	Cre01.g000600	Cre01.g000600	-	chromosome_1:83749-88945	-	-	15.7889	14.5464	17.0313	OK
Cre01.g000650	-	-	Cre01.g000650	AMX2	-	chromosome_1:89575-97537	-	-	3.39167	2.93119	3.85216	OK
g17	-	-	g17	g17	-	chromosome_1:97539-103735	-	-	0.487343	0.311037	0.663648	OK
Cre01.g000750	-	-	Cre01.g000750	Cre01.g000750	-	chromosome_1:103895-110765	-	-	13.6358	12.7512	14.5203	OK
Cre01.g000800	-	-	Cre01.g000800	Cre01.g000800	-	chromosome_1:111400-113923	-	-	3.01374e-05	0	0.10777	OK
g19	-	-	g19	g19	-	chromosome_1:111400-113935	-	-	1.05388	0.567347	1.54042	OK
Cre01.g000850	-	-	Cre01.g000850	CPLD38	-	chromosome_1:114409-116415	-	-	45.8105	42.8316	48.7893	OK
Cre01.g000900	-	-	Cre01.g000900	CPLD20	-	chromosome_1:116525-120738	-	-	39.4395	37.4681	41.4108	OK
Cre01.g000950	-	-	Cre01.g000950	Cre01.g000950	-	chromosome_1:121435-126517	-	-	0.0190634	0	0.0571903	OK
Cre01.g001000	-	-	Cre01.g001000	Cre01.g001000	-	chromosome_1:126579-132075	-	-	0.149424	0.05492	0.243928	OK
Cre01.g001100	-	-	Cre01.g001100	Cre01.g001100	-	chromosome_1:133426-138095	-	-	11.108	10.1598	12.0561	OK
Cre01.g001150	-	-	Cre01.g001150	Cre01.g001150	-	chromosome_1:138225-151966	-	-	2.06651	1.84978	2.28325	OK
Cre01.g001200	-	-	Cre01.g001200	Cre01.g001200	-	chromosome_1:152545-165736	-	-	11.9794	11.4354	12.5234	OK
g28	-	-	g28	g28	-	chromosome_1:166881-177525	-	-	4.67026	4.34187	4.99866	OK
g29	-	-	g29	g29	-	chromosome_1:179761-209575	-	-	0.772957	0.671742	0.874172	OK
Cre01.g001350	-	-	Cre01.g001350	Cre01.g001350	-	chromosome_1:209955-218641	-	-	0.358699	0.194976	0.522422	OK
Cre01.g001400	-	-	Cre01.g001400	ZMP1	-	chromosome_1:218741-224662	-	-	3.89716	3.46939	4.32493	OK
g32	-	-	g32	g32	-	chromosome_1:225011-229655	-	-	0.702988	0.452963	0.953014	OK
g33	-	-	g33	g33	-	chromosome_1:230215-237771	-	-	2.02375	1.67921	2.3683	OK
Cre01.g001550	-	-	Cre01.g001550	Cre01.g001550	-	chromosome_1:237941-243824	-	-	28.4895	26.836	30.143	OK
Cre01.g001600	-	-	Cre01.g001600	Cre01.g001600	-	chromosome_1:245101-248187	-	-	0.785774	0.528531	1.04302	OK
Cre01.g001650	-	-	Cre01.g001650	Cre01.g001650	-	chromosome_1:248745-253111	-	-	11.6888	10.5338	12.8438	OK
g37	-	-	g37	g37	-	chromosome_1:253211-264398	-	-	5.18361	4.34547	6.02176	OK
g38	-	-	g38	g38	-	chromosome_1:264834-268411	-	-	4.67588	3.98421	5.36755	OK
g39	-	-	g39	g39	-	chromosome_1:268505-270501	-	-	0.715706	0.376723	1.05469	OK
g40	-	-	g40	g40	-	chromosome_1:272551-286183	-	-	4.9261	4.49358	5.35861	OK
g41	-	-	g41	g41	-	chromosome_1:286441-290513	-	-	43.2364	41.5952	44.8775	OK
g42	-	-	g42	g42	-	chromosome_1:291005-305011	-	-	9.99058	9.48613	10.495	OK
Cre01.g001750	-	-	Cre01.g001750	TIG1	-	chromosome_1:306537-313443	-	-	23.3462	21.7623	24.9301	OK
Cre01.g001800	-	-	Cre01.g001800	Cre01.g001800	-	chromosome_1:313541-324653	-	-	6.99442	6.33498	7.65386	OK
Cre01.g001950	-	-	Cre01.g001950	Cre01.g001950	-	chromosome_1:324655-329091	-	-	1.64343	1.2451	2.04175	OK
g46	-	-	g46	g46	-	chromosome_1:329306-333421	-	-	29.4275	26.4856	32.3695	OK
Cre01.g002050	-	-	Cre01.g002050	Cre01.g002050	-	chromosome_1:333571-340433	-	-	3.76457	3.23914	4.29	OK
Cre01.g002100	-	-	Cre01.g002100	Cre01.g002100	-	chromosome_1:340481-344893	-	-	0.899987	0.681037	1.11894	OK
Cre01.g002150	-	-	Cre01.g002150	Cre01.g002150	-	chromosome_1:345025-347821	-	-	0.233851	0.0828458	0.384856	OK
